Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:44.130000,VER,1,,1.0,1.0,0 days 00:17:23.933000,,,0 days 00:00:37.828000,0 days 00:00:22.325000,,0 days 00:18:22.060000,0 days 00:18:44.210000,181.0,192.0,284.0,293.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:17:23.933000,,1,,False,,False,False
0 days 00:19:50.261000,VER,1,0 days 00:01:06.131000,2.0,1.0,,,0 days 00:00:16.834000,0 days 00:00:29.587000,0 days 00:00:19.710000,0 days 00:19:00.964000,0 days 00:19:30.551000,0 days 00:19:50.261000,314.0,242.0,284.0,316.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:44.130000,,1,,False,,False,True
0 days 00:21:57.901000,VER,1,0 days 00:02:07.640000,3.0,1.0,,,0 days 00:00:36.902000,0 days 00:01:00.201000,0 days 00:00:30.537000,0 days 00:20:27.163000,0 days 00:21:27.364000,0 days 00:21:57.901000,100.0,146.0,284.0,151.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:19:50.261000,,1,,False,,False,True
0 days 00:23:38.318000,VER,1,0 days 00:01:40.417000,4.0,1.0,,,0 days 00:00:26.853000,0 days 00:00:49.551000,0 days 00:00:24.013000,0 days 00:22:24.754000,0 days 00:23:14.305000,0 days 00:23:38.318000,154.0,153.0,285.0,166.0,False,HARD,4.0,True,Red Bull Racing,0 days 00:21:57.901000,,1,,False,,False,True
0 days 00:24:44.136000,VER,1,0 days 00:01:05.818000,5.0,1.0,,,0 days 00:00:16.664000,0 days 00:00:29.366000,0 days 00:00:19.788000,0 days 00:23:54.982000,0 days 00:24:24.348000,0 days 00:24:44.136000,316.0,243.0,282.0,316.0,True,HARD,5.0,True,Red Bull Racing,0 days 00:23:38.318000,,1,,False,,False,True
0 days 00:26:43.452000,VER,1,0 days 00:01:59.316000,6.0,1.0,,,0 days 00:00:35.096000,0 days 00:00:51.254000,0 days 00:00:32.966000,0 days 00:25:19.232000,0 days 00:26:10.486000,0 days 00:26:43.452000,106.0,148.0,162.0,150.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:24:44.136000,,1,,False,,False,True
0 days 00:28:16.867000,VER,1,0 days 00:01:33.415000,7.0,1.0,,,0 days 00:00:26.201000,0 days 00:00:45.050000,0 days 00:00:22.164000,0 days 00:27:09.653000,0 days 00:27:54.703000,0 days 00:28:16.867000,187.0,185.0,286.0,155.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:26:43.452000,,1,,False,,False,True
0 days 00:29:22.435000,VER,1,0 days 00:01:05.568000,8.0,1.0,,,0 days 00:00:16.556000,0 days 00:00:29.329000,0 days 00:00:19.683000,0 days 00:28:33.423000,0 days 00:29:02.752000,0 days 00:29:22.435000,316.0,241.0,285.0,316.0,True,HARD,8.0,True,Red Bull Racing,0 days 00:28:16.867000,,1,,False,,False,True
0 days 00:30:39.720000,VER,1,0 days 00:01:17.285000,9.0,1.0,,0 days 00:30:36.438000,0 days 00:00:18.106000,0 days 00:00:33.483000,0 days 00:00:25.696000,0 days 00:29:40.541000,0 days 00:30:14.024000,0 days 00:30:39.720000,263.0,219.0,,265.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:29:22.435000,,1,,False,,False,False
0 days 00:38:48.963000,VER,1,,10.0,2.0,0 days 00:37:34.801000,,,0 days 00:00:32.616000,0 days 00:00:21.432000,,0 days 00:38:27.690000,0 days 00:38:49.037000,285.0,221.0,267.0,292.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:30:39.720000,,1,,False,,False,False
0 days 00:39:58.844000,VER,1,0 days 00:01:09.881000,11.0,2.0,,,0 days 00:00:17.666000,0 days 00:00:31.097000,0 days 00:00:21.118000,0 days 00:39:06.629000,0 days 00:39:37.726000,0 days 00:39:58.844000,290.0,230.0,268.0,291.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:38:48.963000,,1,,False,,False,True
0 days 00:41:08.571000,VER,1,0 days 00:01:09.727000,12.0,2.0,,,0 days 00:00:17.720000,0 days 00:00:31.014000,0 days 00:00:20.993000,0 days 00:40:16.564000,0 days 00:40:47.578000,0 days 00:41:08.571000,288.0,228.0,268.0,293.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:39:58.844000,,1,,False,,False,True
