Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:38:31.765000,VER,1,,1.0,1.0,0 days 00:36:28.627000,,,0 days 00:00:57.207000,0 days 00:00:26.142000,,0 days 00:38:05.677000,0 days 00:38:31.794000,189.0,206.0,338.0,307.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:36:28.627000,,12,,False,,False,False
0 days 00:40:15.209000,VER,1,0 days 00:01:43.444000,2.0,1.0,,,0 days 00:00:36.521000,0 days 00:00:41.860000,0 days 00:00:25.063000,0 days 00:39:08.286000,0 days 00:39:50.146000,0 days 00:40:15.209000,220.0,220.0,340.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:38:31.765000,,1,,False,,False,True
0 days 00:43:04.791000,VER,1,,3.0,1.0,,,0 days 00:01:10.290000,0 days 00:01:12.624000,0 days 00:00:26.805000,0 days 00:41:25.653000,0 days 00:42:38.239000,0 days 00:43:04.962000,102.0,180.0,336.0,298.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:40:15.209000,,12,,False,,False,False
0 days 00:45:17.069000,VER,1,0 days 00:02:12.278000,4.0,1.0,,,0 days 00:00:36.781000,0 days 00:01:09.396000,0 days 00:00:26.101000,0 days 00:43:41.572000,0 days 00:44:50.968000,0 days 00:45:17.069000,186.0,199.0,336.0,307.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:43:04.791000,,12,,False,,False,True
0 days 00:47:32.485000,VER,1,0 days 00:02:15.416000,5.0,1.0,,,0 days 00:00:53.031000,0 days 00:00:56.349000,0 days 00:00:26.036000,0 days 00:46:10.100000,0 days 00:47:06.449000,0 days 00:47:32.485000,137.0,207.0,338.0,307.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:45:17.069000,,1,,False,,False,True
0 days 00:49:15.052000,VER,1,0 days 00:01:42.567000,6.0,1.0,,,0 days 00:00:36.192000,0 days 00:00:41.216000,0 days 00:00:25.159000,0 days 00:48:08.677000,0 days 00:48:49.893000,0 days 00:49:15.052000,231.0,230.0,341.0,320.0,True,SOFT,6.0,True,Red Bull Racing,0 days 00:47:32.485000,,1,,False,,False,True
0 days 00:51:49.347000,VER,1,,7.0,1.0,,,0 days 00:00:56.327000,0 days 00:01:08.071000,0 days 00:00:29.851000,0 days 00:50:11.523000,0 days 00:51:19.680000,0 days 00:51:49.347000,139.0,136.0,259.0,290.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:49:15.052000,,1,,False,,False,False
0 days 00:53:48.988000,VER,1,0 days 00:01:59.641000,8.0,1.0,,,0 days 00:00:45.093000,0 days 00:00:48.400000,0 days 00:00:26.148000,0 days 00:52:34.440000,0 days 00:53:22.840000,0 days 00:53:48.988000,167.0,208.0,337.0,306.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:51:49.347000,,1,,False,,False,True
0 days 00:55:30.715000,VER,1,0 days 00:01:41.727000,9.0,1.0,,,0 days 00:00:35.776000,0 days 00:00:41.081000,0 days 00:00:24.870000,0 days 00:54:24.764000,0 days 00:55:05.845000,0 days 00:55:30.715000,230.0,228.0,342.0,322.0,True,SOFT,9.0,True,Red Bull Racing,0 days 00:53:48.988000,,1,,False,,False,True
0 days 00:57:25.460000,VER,1,0 days 00:01:54.745000,10.0,1.0,,0 days 00:57:24.121000,0 days 00:00:39.081000,0 days 00:00:44.717000,0 days 00:00:30.947000,0 days 00:56:09.796000,0 days 00:56:54.513000,0 days 00:57:25.460000,190.0,200.0,,295.0,False,SOFT,10.0,True,Red Bull Racing,0 days 00:55:30.715000,,1,,False,,False,False
0 days 01:03:14.234000,VER,1,,11.0,2.0,0 days 01:01:08.315000,,,0 days 00:01:00.612000,0 days 00:00:25.868000,,0 days 01:02:48.505000,0 days 01:03:14.262000,203.0,202.0,339.0,307.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:25.460000,,12,,False,,False,False
0 days 01:05:18.444000,VER,1,0 days 00:02:04.210000,12.0,2.0,,,0 days 00:00:35.648000,0 days 00:00:52.904000,0 days 00:00:35.658000,0 days 01:03:49.882000,0 days 01:04:42.786000,0 days 01:05:18.444000,225.0,139.0,228.0,229.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:03:14.234000,,12,,False,,False,True
0 days 01:07:55.238000,VER,1,,13.0,2.0,,,0 days 00:00:50.598000,0 days 00:01:20.217000,0 days 00:00:26.103000,0 days 01:06:09.082000,0 days 01:07:29.290000,0 days 01:07:55.349000,140.0,155.0,339.0,306.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:18.444000,,12,,False,,False,False
0 days 01:09:36.683000,VER,1,0 days 00:01:41.445000,14.0,2.0,,,0 days 00:00:35.501000,0 days 00:00:41.052000,0 days 00:00:24.892000,0 days 01:08:30.739000,0 days 01:09:11.791000,0 days 01:09:36.683000,219.0,230.0,340.0,320.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:07:55.238000,,1,,False,,False,True
0 days 01:11:42.956000,VER,1,0 days 00:02:06.273000,15.0,2.0,,,0 days 00:00:46.358000,0 days 00:00:49.617000,0 days 00:00:30.298000,0 days 01:10:23.041000,0 days 01:11:12.658000,0 days 01:11:42.956000,151.0,179.0,260.0,239.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:09:36.683000,,1,,False,,False,True
0 days 01:13:45.693000,VER,1,0 days 00:02:02.737000,16.0,2.0,,,0 days 00:00:48.829000,0 days 00:00:48.099000,0 days 00:00:25.809000,0 days 01:12:31.785000,0 days 01:13:19.884000,0 days 01:13:45.693000,158.0,212.0,339.0,307.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:11:42.956000,,12,,False,,False,True
0 days 01:15:27.314000,VER,1,0 days 00:01:41.621000,17.0,2.0,,,0 days 00:00:35.656000,0 days 00:00:41.121000,0 days 00:00:24.844000,0 days 01:14:21.349000,0 days 01:15:02.470000,0 days 01:15:27.314000,224.0,238.0,341.0,322.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:13:45.693000,,21,,False,,False,True
0 days 01:18:25.033000,VER,1,,18.0,2.0,,,0 days 00:00:57.438000,0 days 00:00:56.574000,0 days 00:01:03.638000,0 days 01:16:25.007000,0 days 01:17:21.576000,0 days 01:18:25.033000,130.0,180.0,6.0,234.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:15:27.314000,,12,,False,,False,False
0 days 01:20:34.242000,VER,1,0 days 00:02:09.209000,19.0,2.0,,0 days 01:20:32.850000,0 days 00:00:44.107000,0 days 00:00:51.142000,0 days 00:00:33.960000,0 days 01:19:09.140000,0 days 01:20:00.282000,0 days 01:20:34.242000,166.0,175.0,,291.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:18:25.033000,,1,,False,,False,False
0 days 00:28:55.548000,NOR,4,,1.0,1.0,0 days 00:26:44.314000,,,0 days 00:00:48.268000,0 days 00:00:26.535000,,0 days 00:28:29.276000,0 days 00:28:55.688000,180.0,185.0,326.0,301.0,False,SOFT,1.0,True,McLaren,0 days 00:26:44.314000,,12,,False,,False,False
0 days 00:30:41.363000,NOR,4,0 days 00:01:45.815000,2.0,1.0,,,0 days 00:00:37.105000,0 days 00:00:43.066000,0 days 00:00:25.644000,0 days 00:29:32.653000,0 days 00:30:15.719000,0 days 00:30:41.363000,222.0,227.0,323.0,314.0,True,SOFT,2.0,True,McLaren,0 days 00:28:55.548000,,1,,False,,False,True
0 days 00:33:30.238000,NOR,4,,3.0,1.0,,,0 days 00:01:02.657000,0 days 00:01:10.025000,0 days 00:00:36.070000,0 days 00:31:44.368000,0 days 00:32:54.331000,0 days 00:33:30.238000,86.0,105.0,167.0,247.0,False,SOFT,3.0,True,McLaren,0 days 00:30:41.363000,,1,,False,,False,False
