Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:08.903000,NOR,4,,1.0,1.0,0 days 00:14:21.309000,,,0 days 00:00:56.155000,0 days 00:00:39.985000,,0 days 00:16:29.037000,0 days 00:17:08.912000,201.0,172.0,284.0,62.0,False,MEDIUM,1.0,True,McLaren,0 days 00:14:21.309000,,1,,False,,False,False
0 days 00:18:44.577000,NOR,4,0 days 00:01:35.674000,2.0,1.0,,,0 days 00:00:30.195000,0 days 00:00:41.604000,0 days 00:00:23.875000,0 days 00:17:39.098000,0 days 00:18:20.702000,0 days 00:18:44.577000,238.0,262.0,285.0,319.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:08.903000,,1,,False,,False,True
0 days 00:21:38.002000,NOR,4,,3.0,1.0,,,0 days 00:00:47.232000,0 days 00:01:23.213000,0 days 00:00:43.117000,0 days 00:19:31.902000,0 days 00:20:54.885000,0 days 00:21:38.100000,101.0,102.0,284.0,203.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:44.577000,,1,,False,,False,False
0 days 00:23:13.251000,NOR,4,0 days 00:01:35.249000,4.0,1.0,,,0 days 00:00:30.109000,0 days 00:00:41.408000,0 days 00:00:23.732000,0 days 00:22:08.111000,0 days 00:22:49.519000,0 days 00:23:13.251000,238.0,266.0,285.0,318.0,True,MEDIUM,4.0,True,McLaren,0 days 00:21:38.002000,,1,,False,,False,True
0 days 00:25:16.034000,NOR,4,0 days 00:02:02.783000,5.0,1.0,,0 days 00:25:14.366000,0 days 00:00:38.294000,0 days 00:00:54.155000,0 days 00:00:30.334000,0 days 00:23:51.545000,0 days 00:24:45.700000,0 days 00:25:16.034000,145.0,179.0,,239.0,False,MEDIUM,5.0,True,McLaren,0 days 00:23:13.251000,,1,,False,,False,False
0 days 00:34:59.351000,NOR,4,,6.0,2.0,0 days 00:32:26.652000,,,0 days 00:01:02.016000,0 days 00:00:37.153000,,0 days 00:34:22.311000,0 days 00:34:59.351000,157.0,139.0,283.0,207.0,False,MEDIUM,6.0,False,McLaren,0 days 00:25:16.034000,,12,,False,,False,False
0 days 00:36:35.324000,NOR,4,0 days 00:01:35.973000,7.0,2.0,,,0 days 00:00:30.128000,0 days 00:00:42.156000,0 days 00:00:23.689000,0 days 00:35:29.479000,0 days 00:36:11.635000,0 days 00:36:35.324000,239.0,264.0,285.0,316.0,False,MEDIUM,7.0,False,McLaren,0 days 00:34:59.351000,,1,,False,,False,True
0 days 00:39:28.826000,NOR,4,,8.0,2.0,,,0 days 00:00:50.030000,0 days 00:01:25.555000,0 days 00:00:38.080000,0 days 00:37:25.348000,0 days 00:38:50.936000,0 days 00:39:28.923000,115.0,111.0,284.0,188.0,False,MEDIUM,8.0,False,McLaren,0 days 00:36:35.324000,,1,,False,,False,False
0 days 00:41:04.072000,NOR,4,0 days 00:01:35.246000,9.0,2.0,,,0 days 00:00:30.193000,0 days 00:00:41.324000,0 days 00:00:23.729000,0 days 00:39:59.019000,0 days 00:40:40.343000,0 days 00:41:04.072000,240.0,266.0,285.0,316.0,True,MEDIUM,9.0,False,McLaren,0 days 00:39:28.826000,,1,,False,,False,True
0 days 00:42:59.273000,NOR,4,0 days 00:01:55.201000,10.0,2.0,,0 days 00:42:57.599000,0 days 00:00:34.937000,0 days 00:00:49.350000,0 days 00:00:30.914000,0 days 00:41:39.009000,0 days 00:42:28.359000,0 days 00:42:59.273000,225.0,170.0,,239.0,False,MEDIUM,10.0,False,McLaren,0 days 00:41:04.072000,,1,,False,,False,False
0 days 00:57:03.943000,NOR,4,,11.0,3.0,0 days 00:54:52.623000,,,0 days 00:00:57.650000,0 days 00:00:26.040000,,0 days 00:56:38.208000,0 days 00:57:04.031000,147.0,170.0,284.0,96.0,False,SOFT,1.0,True,McLaren,0 days 00:42:59.273000,,1,,False,,False,False
0 days 00:58:37.147000,NOR,4,0 days 00:01:33.204000,12.0,3.0,,,0 days 00:00:29.546000,0 days 00:00:40.369000,0 days 00:00:23.289000,0 days 00:57:33.489000,0 days 00:58:13.858000,0 days 00:58:37.147000,240.0,265.0,285.0,314.0,True,SOFT,2.0,True,McLaren,0 days 00:57:03.943000,,1,,False,,False,True
0 days 01:00:19.772000,NOR,4,0 days 00:01:42.625000,13.0,3.0,,,0 days 00:00:36.854000,0 days 00:00:41.895000,0 days 00:00:23.876000,0 days 00:59:14.001000,0 days 00:59:55.896000,0 days 01:00:19.772000,234.0,239.0,281.0,203.0,False,SOFT,3.0,True,McLaren,0 days 00:58:37.147000,,1,,False,,False,True
0 days 01:01:57.240000,NOR,4,0 days 00:01:37.468000,14.0,3.0,,,0 days 00:00:31.025000,0 days 00:00:42.477000,0 days 00:00:23.966000,0 days 01:00:50.797000,0 days 01:01:33.274000,0 days 01:01:57.240000,238.0,239.0,281.0,291.0,False,SOFT,4.0,True,McLaren,0 days 01:00:19.772000,,1,,False,,False,True
0 days 01:03:35.567000,NOR,4,0 days 00:01:38.327000,15.0,3.0,,,0 days 00:00:31.318000,0 days 00:00:42.911000,0 days 00:00:24.098000,0 days 01:02:28.558000,0 days 01:03:11.469000,0 days 01:03:35.567000,236.0,242.0,291.0,295.0,False,SOFT,5.0,True,McLaren,0 days 01:01:57.240000,,1,,False,,False,True
0 days 01:05:13.094000,NOR,4,0 days 00:01:37.527000,16.0,3.0,,,0 days 00:00:30.753000,0 days 00:00:42.610000,0 days 00:00:24.164000,0 days 01:04:06.320000,0 days 01:04:48.930000,0 days 01:05:13.094000,235.0,243.0,281.0,310.0,False,SOFT,6.0,True,McLaren,0 days 01:03:35.567000,,1,,False,,False,True
0 days 01:06:51.634000,NOR,4,0 days 00:01:38.540000,17.0,3.0,,,0 days 00:00:31.296000,0 days 00:00:43.267000,0 days 00:00:23.977000,0 days 01:05:44.390000,0 days 01:06:27.657000,0 days 01:06:51.634000,238.0,244.0,280.0,284.0,False,SOFT,7.0,True,McLaren,0 days 01:05:13.094000,,1,,False,,False,True
0 days 01:08:29.168000,NOR,4,0 days 00:01:37.534000,18.0,3.0,,,0 days 00:00:31.052000,0 days 00:00:42.378000,0 days 00:00:24.104000,0 days 01:07:22.686000,0 days 01:08:05.064000,0 days 01:08:29.168000,,241.0,280.0,299.0,False,SOFT,8.0,True,McLaren,0 days 01:06:51.634000,,1,,False,,False,True
0 days 01:10:07.566000,NOR,4,0 days 00:01:38.398000,19.0,3.0,,,0 days 00:00:31.397000,0 days 00:00:42.838000,0 days 00:00:24.163000,0 days 01:09:00.565000,0 days 01:09:43.403000,0 days 01:10:07.566000,236.0,248.0,280.0,293.0,False,SOFT,9.0,True,McLaren,0 days 01:08:29.168000,,1,,False,,False,True
0 days 01:11:45.745000,NOR,4,0 days 00:01:38.179000,20.0,3.0,,,0 days 00:00:31.334000,0 days 00:00:42.650000,0 days 00:00:24.195000,0 days 01:10:38.900000,0 days 01:11:21.550000,0 days 01:11:45.745000,234.0,250.0,280.0,303.0,False,SOFT,10.0,True,McLaren,0 days 01:10:07.566000,,1,,False,,False,True
0 days 01:13:24.229000,NOR,4,0 days 00:01:38.484000,21.0,3.0,,,0 days 00:00:31.230000,0 days 00:00:42.968000,0 days 00:00:24.286000,0 days 01:12:16.975000,0 days 01:12:59.943000,0 days 01:13:24.229000,,249.0,282.0,299.0,False,SOFT,11.0,True,McLaren,0 days 01:11:45.745000,,1,,False,,False,True
0 days 01:15:20.545000,NOR,4,0 days 00:01:56.316000,22.0,3.0,,,0 days 00:00:35.490000,0 days 00:00:49.479000,0 days 00:00:31.347000,0 days 01:13:59.719000,0 days 01:14:49.198000,0 days 01:15:20.545000,173.0,184.0,92.0,242.0,False,SOFT,12.0,True,McLaren,0 days 01:13:24.229000,,1,,False,,False,True
0 days 01:17:44.017000,NOR,4,0 days 00:02:23.472000,23.0,3.0,,0 days 01:17:42.293000,0 days 00:01:04.529000,0 days 00:00:50.554000,0 days 00:00:28.389000,0 days 01:16:25.074000,0 days 01:17:15.628000,0 days 01:17:44.017000,217.0,226.0,,252.0,False,SOFT,13.0,True,McLaren,0 days 01:15:20.545000,,1,,False,,False,False
0 days 00:15:42.234000,BOR,5,,1.0,1.0,0 days 00:13:28.607000,,,0 days 00:00:49.600000,0 days 00:00:28.675000,,0 days 00:15:13.851000,0 days 00:15:42.466000,204.0,206.0,282.0,85.0,False,HARD,1.0,True,Kick Sauber,0 days 00:13:28.607000,,1,,False,,False,False
0 days 00:17:21.640000,BOR,5,0 days 00:01:39.406000,2.0,1.0,,,0 days 00:00:31.014000,0 days 00:00:43.444000,0 days 00:00:24.948000,0 days 00:16:13.248000,0 days 00:16:56.692000,0 days 00:17:21.640000,236.0,258.0,279.0,321.0,True,HARD,2.0,True,Kick Sauber,0 days 00:15:42.234000,,1,,False,,False,True
0 days 00:19:43.779000,BOR,5,0 days 00:02:22.139000,3.0,1.0,,,0 days 00:00:45.084000,0 days 00:01:08.444000,0 days 00:00:28.611000,0 days 00:18:06.724000,0 days 00:19:15.168000,0 days 00:19:43.779000,133.0,139.0,282.0,196.0,False,HARD,3.0,True,Kick Sauber,0 days 00:17:21.640000,,1,,False,,False,True
0 days 00:21:21.595000,BOR,5,0 days 00:01:37.816000,4.0,1.0,,,0 days 00:00:30.797000,0 days 00:00:42.869000,0 days 00:00:24.150000,0 days 00:20:14.576000,0 days 00:20:57.445000,0 days 00:21:21.595000,237.0,263.0,286.0,320.0,True,HARD,4.0,True,Kick Sauber,0 days 00:19:43.779000,,1,,False,,False,True
0 days 00:24:08.112000,BOR,5,,5.0,1.0,,,0 days 00:00:50.389000,0 days 00:01:24.497000,0 days 00:00:31.484000,0 days 00:22:12.280000,0 days 00:23:36.675000,0 days 00:24:08.153000,93.0,92.0,282.0,156.0,False,HARD,5.0,True,Kick Sauber,0 days 00:21:21.595000,,1,,False,,False,False
0 days 00:25:45.420000,BOR,5,0 days 00:01:37.308000,6.0,1.0,,,0 days 00:00:30.732000,0 days 00:00:42.478000,0 days 00:00:24.098000,0 days 00:24:38.844000,0 days 00:25:21.322000,0 days 00:25:45.420000,237.0,268.0,285.0,320.0,True,HARD,6.0,True,Kick Sauber,0 days 00:24:08.112000,,1,,False,,False,True
0 days 00:28:28.762000,BOR,5,,7.0,1.0,,,0 days 00:00:53.012000,0 days 00:01:16.540000,0 days 00:00:33.824000,0 days 00:26:38.526000,0 days 00:27:54.938000,0 days 00:28:28.802000,96.0,108.0,285.0,186.0,False,HARD,7.0,True,Kick Sauber,0 days 00:25:45.420000,,12,,False,,False,False
0 days 00:30:09.036000,BOR,5,0 days 00:01:40.274000,8.0,1.0,,0 days 00:30:07.205000,0 days 00:00:30.527000,0 days 00:00:42.506000,0 days 00:00:27.241000,0 days 00:28:59.289000,0 days 00:29:41.795000,0 days 00:30:09.036000,238.0,266.0,,323.0,False,HARD,8.0,True,Kick Sauber,0 days 00:28:28.762000,,1,,False,,False,False
0 days 00:41:14.133000,BOR,5,,9.0,2.0,0 days 00:39:06.439000,,,0 days 00:00:57.787000,0 days 00:00:31.599000,,0 days 00:40:42.663000,0 days 00:41:14.274000,165.0,173.0,289.0,118.0,False,SOFT,1.0,True,Kick Sauber,0 days 00:30:09.036000,,1,,False,,False,False
0 days 00:42:48.761000,BOR,5,0 days 00:01:34.628000,10.0,2.0,,,0 days 00:00:29.650000,0 days 00:00:41.136000,0 days 00:00:23.842000,0 days 00:41:43.783000,0 days 00:42:24.919000,0 days 00:42:48.761000,239.0,270.0,287.0,325.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:41:14.133000,,1,,False,,False,True
0 days 00:45:25.126000,BOR,5,,11.0,2.0,,0 days 00:45:23.194000,0 days 00:00:49.148000,0 days 00:01:05.725000,0 days 00:00:41.293000,0 days 00:43:38.146000,0 days 00:44:43.870000,0 days 00:45:25.126000,124.0,134.0,,161.0,False,SOFT,3.0,True,Kick Sauber,0 days 00:42:48.761000,,1,,False,,False,False
0 days 00:48:25.449000,BOR,5,,12.0,3.0,0 days 00:45:55.360000,,0 days 00:01:19.338000,0 days 00:01:06.339000,0 days 00:00:34.760000,0 days 00:46:44.473000,0 days 00:47:50.834000,0 days 00:48:25.493000,120.0,126.0,285.0,102.0,False,SOFT,4.0,False,Kick Sauber,0 days 00:45:25.126000,,1,,False,,False,False
0 days 00:50:00.814000,BOR,5,0 days 00:01:35.365000,13.0,3.0,,,0 days 00:00:30.081000,0 days 00:00:41.506000,0 days 00:00:23.778000,0 days 00:48:55.530000,0 days 00:49:37.036000,0 days 00:50:00.814000,239.0,269.0,286.0,322.0,False,SOFT,5.0,False,Kick Sauber,0 days 00:48:25.449000,,1,,False,,False,True
0 days 00:52:11.404000,BOR,5,0 days 00:02:10.590000,14.0,3.0,,0 days 00:52:09.622000,0 days 00:00:39.849000,0 days 00:01:01.294000,0 days 00:00:29.447000,0 days 00:50:40.663000,0 days 00:51:41.957000,0 days 00:52:11.404000,152.0,158.0,,200.0,False,SOFT,6.0,False,Kick Sauber,0 days 00:50:00.814000,,1,,False,,False,False
0 days 01:03:08.587000,BOR,5,,15.0,4.0,0 days 01:01:15.067000,,,0 days 00:00:43.253000,0 days 00:00:24.941000,,0 days 01:02:43.871000,0 days 01:03:08.703000,230.0,250.0,271.0,200.0,False,SOFT,7.0,False,Kick Sauber,0 days 00:52:11.404000,,1,,False,,False,False
0 days 01:04:48.938000,BOR,5,0 days 00:01:40.351000,16.0,4.0,,,0 days 00:00:31.720000,0 days 00:00:44.028000,0 days 00:00:24.603000,0 days 01:03:40.307000,0 days 01:04:24.335000,0 days 01:04:48.938000,232.0,247.0,275.0,293.0,False,SOFT,8.0,False,Kick Sauber,0 days 01:03:08.587000,,1,,False,,False,True
0 days 01:06:29.337000,BOR,5,0 days 00:01:40.399000,17.0,4.0,,,0 days 00:00:31.853000,0 days 00:00:43.855000,0 days 00:00:24.691000,0 days 01:05:20.791000,0 days 01:06:04.646000,0 days 01:06:29.337000,,244.0,275.0,292.0,False,SOFT,9.0,False,Kick Sauber,0 days 01:04:48.938000,,1,,False,,False,True
0 days 01:08:10.706000,BOR,5,0 days 00:01:41.369000,18.0,4.0,,,0 days 00:00:32.045000,0 days 00:00:44.126000,0 days 00:00:25.198000,0 days 01:07:01.382000,0 days 01:07:45.508000,0 days 01:08:10.706000,229.0,246.0,274.0,291.0,False,SOFT,10.0,False,Kick Sauber,0 days 01:06:29.337000,,1,,False,,False,True
0 days 01:09:52.416000,BOR,5,0 days 00:01:41.710000,19.0,4.0,,,0 days 00:00:31.986000,0 days 00:00:44.607000,0 days 00:00:25.117000,0 days 01:08:42.692000,0 days 01:09:27.299000,0 days 01:09:52.416000,231.0,247.0,275.0,,False,SOFT,11.0,False,Kick Sauber,0 days 01:08:10.706000,,1,,False,,False,True
0 days 01:11:34.816000,BOR,5,0 days 00:01:42.400000,20.0,4.0,,,0 days 00:00:32.415000,0 days 00:00:44.750000,0 days 00:00:25.235000,0 days 01:10:24.831000,0 days 01:11:09.581000,0 days 01:11:34.816000,230.0,248.0,275.0,292.0,False,SOFT,12.0,False,Kick Sauber,0 days 01:09:52.416000,,1,,False,,False,True
0 days 01:13:17.791000,BOR,5,0 days 00:01:42.975000,21.0,4.0,,,0 days 00:00:32.467000,0 days 00:00:45.296000,0 days 00:00:25.212000,0 days 01:12:07.283000,0 days 01:12:52.579000,0 days 01:13:17.791000,222.0,243.0,276.0,299.0,False,SOFT,13.0,False,Kick Sauber,0 days 01:11:34.816000,,1,,False,,False,True
