Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:58.104000,VER,1,,1.0,1.0,0 days 00:18:56.670000,,,0 days 00:00:54.466000,0 days 00:00:32.511000,,0 days 00:20:25.741000,0 days 00:20:58.104000,189.0,208.0,254.0,242.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:18:56.670000,,1,,False,,False,False
0 days 00:22:25.443000,VER,1,0 days 00:01:27.339000,2.0,1.0,,,0 days 00:00:28.166000,0 days 00:00:35.071000,0 days 00:00:24.102000,0 days 00:21:26.270000,0 days 00:22:01.341000,0 days 00:22:25.443000,316.0,264.0,252.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:20:58.104000,,1,,False,,False,True
0 days 00:25:13.178000,VER,1,,3.0,1.0,,0 days 00:25:07.144000,0 days 00:00:56.343000,0 days 00:01:10.483000,0 days 00:00:40.910000,0 days 00:23:21.966000,0 days 00:24:32.520000,0 days 00:25:13.178000,121.0,132.0,,124.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:22:25.443000,,1,,False,,False,False
0 days 00:27:56.879000,VER,1,,4.0,2.0,0 days 00:25:41.609000,,0 days 00:01:10.238000,0 days 00:01:03.366000,0 days 00:00:30.109000,0 days 00:26:23.580000,0 days 00:27:26.962000,0 days 00:27:56.879000,178.0,135.0,254.0,270.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:25:13.178000,,1,,False,,False,False
0 days 00:29:24.263000,VER,1,0 days 00:01:27.384000,5.0,2.0,,,0 days 00:00:28.258000,0 days 00:00:34.990000,0 days 00:00:24.136000,0 days 00:28:25.137000,0 days 00:29:00.127000,0 days 00:29:24.263000,319.0,262.0,251.0,324.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:27:56.879000,,1,,False,,False,True
0 days 00:31:11.191000,VER,1,0 days 00:01:46.928000,6.0,2.0,,0 days 00:31:05.161000,0 days 00:00:36.059000,0 days 00:00:43.056000,0 days 00:00:27.813000,0 days 00:30:00.322000,0 days 00:30:43.378000,0 days 00:31:11.191000,268.0,198.0,,280.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:29:24.263000,,12,,False,,False,False
0 days 00:46:16.835000,VER,1,,7.0,3.0,0 days 00:44:18.055000,,,0 days 00:00:52.853000,0 days 00:00:30.921000,,0 days 00:45:46.285000,0 days 00:46:16.913000,275.0,151.0,258.0,283.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:11.191000,,21,,False,,False,False
0 days 00:47:43.446000,VER,1,0 days 00:01:26.611000,8.0,3.0,,,0 days 00:00:27.981000,0 days 00:00:34.779000,0 days 00:00:23.851000,0 days 00:46:44.816000,0 days 00:47:19.595000,0 days 00:47:43.446000,320.0,263.0,252.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:46:16.835000,,1,,False,,False,True
0 days 00:50:05.731000,VER,1,0 days 00:02:22.285000,9.0,3.0,,0 days 00:49:59.898000,0 days 00:00:40.352000,0 days 00:01:02.426000,0 days 00:00:39.507000,0 days 00:48:23.798000,0 days 00:49:26.224000,0 days 00:50:05.731000,188.0,147.0,,163.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:47:43.446000,,1,,False,,False,False
0 days 00:53:04.529000,VER,1,,10.0,4.0,0 days 00:50:32.214000,,0 days 00:01:11.116000,0 days 00:01:15.223000,0 days 00:00:32.457000,0 days 00:51:17.143000,0 days 00:52:32.247000,0 days 00:53:04.877000,154.0,107.0,258.0,269.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:50:05.731000,,1,,False,,False,False
