Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:37:11.937000,VER,1,,1.0,1.0,0 days 00:35:40.566000,,,0 days 00:00:32.727000,0 days 00:00:22.873000,,0 days 00:36:49.273000,0 days 00:37:11.966000,239.0,259.0,318.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:35:40.566000,,1,,False,,False,False
0 days 00:38:22.959000,VER,1,0 days 00:01:11.022000,2.0,1.0,,,0 days 00:00:24.325000,0 days 00:00:25.036000,0 days 00:00:21.661000,0 days 00:37:36.262000,0 days 00:38:01.298000,0 days 00:38:22.959000,289.0,281.0,321.0,326.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:37:11.937000,,1,,False,,False,True
0 days 00:40:41.260000,VER,1,0 days 00:02:18.301000,3.0,1.0,,0 days 00:40:39.917000,0 days 00:00:49.536000,0 days 00:00:49.719000,0 days 00:00:39.046000,0 days 00:39:12.495000,0 days 00:40:02.214000,0 days 00:40:41.260000,124.0,143.0,,129.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:38:22.959000,,1,,False,,False,False
0 days 00:42:39.987000,VER,1,0 days 00:01:58.727000,4.0,2.0,0 days 00:41:01.852000,,0 days 00:00:58.328000,0 days 00:00:37.204000,0 days 00:00:23.195000,0 days 00:41:39.588000,0 days 00:42:16.792000,0 days 00:42:39.987000,199.0,238.0,319.0,,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:40:41.260000,,1,,False,,False,False
0 days 00:43:50.690000,VER,1,0 days 00:01:10.703000,5.0,2.0,,,0 days 00:00:24.151000,0 days 00:00:25.001000,0 days 00:00:21.551000,0 days 00:43:04.138000,0 days 00:43:29.139000,0 days 00:43:50.690000,292.0,282.0,326.0,329.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:42:39.987000,,1,,False,,False,True
0 days 00:45:55.996000,VER,1,0 days 00:02:05.306000,6.0,2.0,,,0 days 00:00:45.089000,0 days 00:00:44.145000,0 days 00:00:36.072000,0 days 00:44:35.779000,0 days 00:45:19.924000,0 days 00:45:55.996000,151.0,173.0,213.0,234.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:43:50.690000,,1,,False,,False,True
0 days 00:47:33.512000,VER,1,0 days 00:01:37.516000,7.0,2.0,,,0 days 00:00:35.888000,0 days 00:00:38.474000,0 days 00:00:23.154000,0 days 00:46:31.884000,0 days 00:47:10.358000,0 days 00:47:33.512000,165.0,271.0,320.0,195.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:45:55.996000,,1,,False,,False,True
0 days 00:48:44.432000,VER,1,0 days 00:01:10.920000,8.0,2.0,,,0 days 00:00:24.246000,0 days 00:00:25.120000,0 days 00:00:21.554000,0 days 00:47:57.758000,0 days 00:48:22.878000,0 days 00:48:44.432000,292.0,282.0,321.0,329.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:47:33.512000,,1,,False,,False,True
0 days 00:50:15.256000,VER,1,0 days 00:01:30.824000,9.0,2.0,,0 days 00:50:14.005000,0 days 00:00:30.965000,0 days 00:00:32.110000,0 days 00:00:27.749000,0 days 00:49:15.397000,0 days 00:49:47.507000,0 days 00:50:15.256000,225.0,221.0,,232.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:48:44.432000,,1,,False,,False,False
0 days 00:54:10.908000,VER,1,,10.0,3.0,0 days 00:52:39.836000,,,0 days 00:00:31.641000,0 days 00:00:24.856000,,0 days 00:53:46.119000,0 days 00:54:10.947000,194.0,256.0,319.0,,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:50:15.256000,,1,,False,,False,False
0 days 00:55:30.860000,VER,1,0 days 00:01:19.952000,11.0,3.0,,0 days 00:55:29.527000,0 days 00:00:24.099000,0 days 00:00:25.510000,0 days 00:00:30.343000,0 days 00:54:35.007000,0 days 00:55:00.517000,0 days 00:55:30.860000,292.0,204.0,,328.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:54:10.908000,,1,,False,,False,False
0 days 01:01:05.431000,VER,1,,12.0,4.0,0 days 00:59:36.288000,,,0 days 00:00:32.193000,0 days 00:00:22.200000,,0 days 01:00:43.497000,0 days 01:01:05.514000,187.0,255.0,319.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:55:30.860000,,1,,False,,False,False
0 days 01:02:15.356000,VER,1,0 days 00:01:09.925000,13.0,4.0,,,0 days 00:00:23.930000,0 days 00:00:24.743000,0 days 00:00:21.252000,0 days 01:01:29.361000,0 days 01:01:54.104000,0 days 01:02:15.356000,291.0,282.0,322.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:01:05.431000,,1,,False,,False,True
0 days 01:03:59.444000,VER,1,0 days 00:01:44.088000,14.0,4.0,,0 days 01:03:58.262000,0 days 00:00:35.880000,0 days 00:00:35.391000,0 days 00:00:32.817000,0 days 01:02:51.236000,0 days 01:03:26.627000,0 days 01:03:59.444000,193.0,148.0,,180.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:02:15.356000,,1,,False,,False,False
0 days 01:10:56.862000,VER,1,,15.0,5.0,0 days 01:09:21.408000,,,0 days 00:00:31.363000,0 days 00:00:31.243000,,0 days 01:10:25.762000,0 days 01:10:57.017000,203.0,263.0,319.0,,False,SOFT,4.0,False,Red Bull Racing,0 days 01:03:59.444000,,1,,False,,False,False
0 days 01:12:07.001000,VER,1,0 days 00:01:10.139000,16.0,5.0,,,0 days 00:00:23.940000,0 days 00:00:24.898000,0 days 00:00:21.301000,0 days 01:11:20.802000,0 days 01:11:45.700000,0 days 01:12:07.001000,291.0,280.0,320.0,328.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:10:56.862000,,1,,False,,False,True
0 days 01:13:32.506000,VER,1,0 days 00:01:25.505000,17.0,5.0,,0 days 01:13:31.221000,0 days 00:00:27.220000,0 days 00:00:28.553000,0 days 00:00:29.732000,0 days 01:12:34.221000,0 days 01:13:02.774000,0 days 01:13:32.506000,264.0,242.0,,235.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:12:07.001000,,1,,False,,False,False
0 days 01:15:24.603000,VER,1,0 days 00:01:52.097000,18.0,6.0,0 days 01:13:50.806000,,0 days 00:00:51.325000,0 days 00:00:31.967000,0 days 00:00:28.805000,0 days 01:14:23.831000,0 days 01:14:55.798000,0 days 01:15:24.603000,207.0,215.0,173.0,,False,SOFT,7.0,False,Red Bull Racing,0 days 01:13:32.506000,,1,,False,,False,False
0 days 01:17:01.525000,VER,1,0 days 00:01:36.922000,19.0,6.0,,,0 days 00:00:32.294000,0 days 00:00:29.476000,0 days 00:00:35.152000,0 days 01:15:56.897000,0 days 01:16:26.373000,0 days 01:17:01.525000,225.0,243.0,64.0,173.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:15:24.603000,,1,,False,,False,True
0 days 01:18:44.557000,VER,1,0 days 00:01:43.032000,20.0,6.0,,0 days 01:18:43.360000,0 days 00:00:48.656000,0 days 00:00:26.690000,0 days 00:00:27.686000,0 days 01:17:50.181000,0 days 01:18:16.871000,0 days 01:18:44.557000,271.0,250.0,,213.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:17:01.525000,,1,,False,,False,False
0 days 00:23:00.047000,NOR,4,,1.0,1.0,0 days 00:21:26.603000,0 days 00:22:58.725000,,0 days 00:00:29.749000,0 days 00:00:28.922000,,0 days 00:22:31.216000,0 days 00:23:00.047000,258.0,248.0,,,False,HARD,1.0,True,McLaren,0 days 00:21:26.603000,,1,,False,,False,False
0 days 00:35:48.277000,NOR,4,,2.0,2.0,0 days 00:34:20.001000,,,0 days 00:00:31.259000,0 days 00:00:22.987000,,0 days 00:35:25.450000,0 days 00:35:48.333000,249.0,257.0,310.0,,False,SOFT,1.0,True,McLaren,0 days 00:23:00.047000,,1,,False,,False,False
0 days 00:36:58.539000,NOR,4,0 days 00:01:10.262000,3.0,2.0,,,0 days 00:00:24.331000,0 days 00:00:24.696000,0 days 00:00:21.235000,0 days 00:36:12.608000,0 days 00:36:37.304000,0 days 00:36:58.539000,284.0,279.0,313.0,316.0,True,SOFT,2.0,True,McLaren,0 days 00:35:48.277000,,1,,False,,False,True
0 days 00:38:59.006000,NOR,4,0 days 00:02:00.467000,4.0,2.0,,0 days 00:38:57.471000,0 days 00:00:41.771000,0 days 00:00:41.964000,0 days 00:00:36.732000,0 days 00:37:40.310000,0 days 00:38:22.274000,0 days 00:38:59.006000,181.0,167.0,,228.0,False,SOFT,3.0,True,McLaren,0 days 00:36:58.539000,,1,,False,,False,False
0 days 00:41:07.477000,NOR,4,0 days 00:02:08.471000,5.0,3.0,0 days 00:39:13.910000,,0 days 00:00:54.887000,0 days 00:00:37.503000,0 days 00:00:36.081000,0 days 00:39:53.893000,0 days 00:40:31.396000,0 days 00:41:07.477000,161.0,244.0,312.0,,False,SOFT,4.0,False,McLaren,0 days 00:38:59.006000,,1,,False,,False,False
0 days 00:42:17.826000,NOR,4,0 days 00:01:10.349000,6.0,3.0,,,0 days 00:00:24.085000,0 days 00:00:24.979000,0 days 00:00:21.285000,0 days 00:41:31.562000,0 days 00:41:56.541000,0 days 00:42:17.826000,284.0,278.0,315.0,319.0,False,SOFT,5.0,False,McLaren,0 days 00:41:07.477000,,1,,False,,False,True
0 days 00:44:03.677000,NOR,4,0 days 00:01:45.851000,7.0,3.0,,0 days 00:44:02.464000,0 days 00:00:33.759000,0 days 00:00:35.288000,0 days 00:00:36.804000,0 days 00:42:51.585000,0 days 00:43:26.873000,0 days 00:44:03.677000,224.0,109.0,,223.0,False,SOFT,6.0,False,McLaren,0 days 00:42:17.826000,,1,,False,,False,False
0 days 00:59:31.884000,NOR,4,,8.0,4.0,0 days 00:58:07.921000,,,0 days 00:00:29.545000,0 days 00:00:23.336000,,0 days 00:59:08.728000,0 days 00:59:31.988000,270.0,252.0,316.0,,False,SOFT,1.0,True,McLaren,0 days 00:44:03.677000,,1,,False,,False,False
