Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:24.805000,VER,1,,1.0,1.0,0 days 00:17:23.799000,,,0 days 00:00:37.118000,0 days 00:00:35.794000,,0 days 00:18:49.049000,0 days 00:19:24.815000,174.0,113.0,280.0,239.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:23.799000,,1,,False,,False,False
0 days 00:20:41.224000,VER,1,0 days 00:01:16.419000,2.0,1.0,,,0 days 00:00:24.256000,0 days 00:00:26.449000,0 days 00:00:25.714000,0 days 00:19:49.061000,0 days 00:20:15.510000,0 days 00:20:41.224000,227.0,258.0,279.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:24.805000,,1,,False,,False,True
0 days 00:23:16.247000,VER,1,,3.0,1.0,,,0 days 00:00:50.681000,0 days 00:00:55.948000,0 days 00:00:48.538000,0 days 00:21:31.985000,0 days 00:22:27.941000,0 days 00:23:16.472000,108.0,137.0,158.0,135.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:41.224000,,1,,False,,False,False
0 days 00:25:19.861000,VER,1,0 days 00:02:03.614000,4.0,1.0,,,0 days 00:00:49.308000,0 days 00:00:42.935000,0 days 00:00:31.371000,0 days 00:24:05.555000,0 days 00:24:48.490000,0 days 00:25:19.861000,133.0,170.0,281.0,266.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:23:16.247000,,1,,False,,False,True
0 days 00:26:36.167000,VER,1,0 days 00:01:16.306000,5.0,1.0,,,0 days 00:00:24.178000,0 days 00:00:26.520000,0 days 00:00:25.608000,0 days 00:25:44.039000,0 days 00:26:10.559000,0 days 00:26:36.167000,227.0,256.0,282.0,295.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:25:19.861000,,1,,False,,False,True
0 days 00:28:17.861000,VER,1,0 days 00:01:41.694000,6.0,1.0,,0 days 00:28:13.395000,0 days 00:00:31.017000,0 days 00:00:34.239000,0 days 00:00:36.438000,0 days 00:27:07.184000,0 days 00:27:41.423000,0 days 00:28:17.861000,189.0,219.0,,205.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:26:36.167000,,1,,False,,False,False
0 days 00:38:03.834000,VER,1,,7.0,2.0,0 days 00:36:23.349000,,,0 days 00:00:37.939000,0 days 00:00:31.064000,,0 days 00:37:32.927000,0 days 00:38:03.850000,170.0,195.0,284.0,247.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:28:17.861000,,1,,False,,False,False
0 days 00:39:19.569000,VER,1,0 days 00:01:15.735000,8.0,2.0,,,0 days 00:00:24.075000,0 days 00:00:26.156000,0 days 00:00:25.504000,0 days 00:38:27.909000,0 days 00:38:54.065000,0 days 00:39:19.569000,228.0,261.0,284.0,295.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:38:03.834000,,1,,False,,False,True
0 days 00:41:53.881000,VER,1,,9.0,2.0,,,0 days 00:00:48.532000,0 days 00:00:54.094000,0 days 00:00:51.725000,0 days 00:40:08.210000,0 days 00:41:02.241000,0 days 00:41:53.944000,117.0,92.0,156.0,129.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:39:19.569000,,1,,False,,False,False
0 days 00:44:03.646000,VER,1,0 days 00:02:09.765000,10.0,2.0,,,0 days 00:00:48.331000,0 days 00:00:50.031000,0 days 00:00:31.403000,0 days 00:42:42.212000,0 days 00:43:32.243000,0 days 00:44:03.646000,134.0,157.0,284.0,259.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:41:53.881000,,1,,False,,False,True
0 days 00:45:37.461000,VER,1,0 days 00:01:33.815000,11.0,2.0,,0 days 00:45:32.914000,0 days 00:00:24.181000,0 days 00:00:33.800000,0 days 00:00:35.834000,0 days 00:44:27.827000,0 days 00:45:01.627000,0 days 00:45:37.461000,227.0,221.0,,230.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:44:03.646000,,1,,False,,False,False
0 days 00:53:59.849000,VER,1,,12.0,3.0,0 days 00:52:15.842000,,,0 days 00:00:32.155000,0 days 00:00:30.020000,,0 days 00:53:30.130000,0 days 00:53:59.971000,202.0,223.0,274.0,271.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:45:37.461000,,1,,False,,False,False
0 days 00:55:20.444000,VER,1,0 days 00:01:20.595000,13.0,3.0,,,0 days 00:00:25.734000,0 days 00:00:28.048000,0 days 00:00:26.813000,0 days 00:54:25.583000,0 days 00:54:53.631000,0 days 00:55:20.444000,217.0,251.0,274.0,279.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:53:59.849000,,1,,False,,False,True
0 days 00:56:40.732000,VER,1,0 days 00:01:20.288000,14.0,3.0,,,0 days 00:00:25.568000,0 days 00:00:27.980000,0 days 00:00:26.740000,0 days 00:55:46.012000,0 days 00:56:13.992000,0 days 00:56:40.732000,,252.0,274.0,281.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:55:20.444000,,1,,False,,False,True
0 days 00:58:03.493000,VER,1,0 days 00:01:22.761000,15.0,3.0,,,0 days 00:00:25.499000,0 days 00:00:28.141000,0 days 00:00:29.121000,0 days 00:57:06.231000,0 days 00:57:34.372000,0 days 00:58:03.493000,218.0,252.0,275.0,210.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:56:40.732000,,1,,False,,False,True
0 days 00:59:23.740000,VER,1,0 days 00:01:20.247000,16.0,3.0,,,0 days 00:00:25.425000,0 days 00:00:28.001000,0 days 00:00:26.821000,0 days 00:58:28.918000,0 days 00:58:56.919000,0 days 00:59:23.740000,219.0,253.0,275.0,283.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:58:03.493000,,1,,False,,False,True
0 days 01:00:47.812000,VER,1,0 days 00:01:24.072000,17.0,3.0,,,0 days 00:00:26.296000,0 days 00:00:28.300000,0 days 00:00:29.476000,0 days 00:59:50.036000,0 days 01:00:18.336000,0 days 01:00:47.812000,213.0,254.0,276.0,204.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:59:23.740000,,1,,False,,False,True
0 days 01:02:08.056000,VER,1,0 days 00:01:20.244000,18.0,3.0,,,0 days 00:00:25.316000,0 days 00:00:27.955000,0 days 00:00:26.973000,0 days 01:01:13.128000,0 days 01:01:41.083000,0 days 01:02:08.056000,220.0,253.0,275.0,283.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:47.812000,,1,,False,,False,True
