Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:33:48.173000,VER,1,,1.0,1.0,0 days 00:32:05.317000,,,0 days 00:00:42.579000,0 days 00:00:25.990000,,0 days 00:33:22.391000,0 days 00:33:48.280000,263.0,161.0,261.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:05.317000,,1,,False,,False,False
0 days 00:35:04.720000,VER,1,0 days 00:01:16.547000,2.0,1.0,,,0 days 00:00:27.972000,0 days 00:00:27.036000,0 days 00:00:21.539000,0 days 00:34:16.145000,0 days 00:34:43.181000,0 days 00:35:04.720000,280.0,254.0,260.0,308.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:33:48.173000,,1,,False,,False,True
0 days 00:37:31.370000,VER,1,0 days 00:02:26.650000,3.0,1.0,,,0 days 00:00:55.701000,0 days 00:00:52.588000,0 days 00:00:38.361000,0 days 00:36:00.421000,0 days 00:36:53.009000,0 days 00:37:31.370000,113.0,131.0,139.0,184.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:35:04.720000,,1,,False,,False,True
0 days 00:39:39.464000,VER,1,0 days 00:02:08.094000,4.0,1.0,,,0 days 00:00:52.839000,0 days 00:00:48.008000,0 days 00:00:27.247000,0 days 00:38:24.209000,0 days 00:39:12.217000,0 days 00:39:39.464000,150.0,167.0,259.0,154.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:37:31.370000,,1,,False,,False,True
0 days 00:40:55.666000,VER,1,0 days 00:01:16.202000,5.0,1.0,,,0 days 00:00:27.832000,0 days 00:00:26.890000,0 days 00:00:21.480000,0 days 00:40:07.296000,0 days 00:40:34.186000,0 days 00:40:55.666000,282.0,255.0,258.0,306.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:39:39.464000,,1,,False,,False,True
0 days 00:42:16.992000,VER,1,0 days 00:01:21.326000,6.0,1.0,,,0 days 00:00:29.341000,0 days 00:00:29.161000,0 days 00:00:22.824000,0 days 00:41:25.007000,0 days 00:41:54.168000,0 days 00:42:16.992000,264.0,246.0,249.0,286.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:40:55.666000,,1,,False,,False,True
0 days 00:43:37.306000,VER,1,0 days 00:01:20.314000,7.0,1.0,,,0 days 00:00:29.075000,0 days 00:00:28.730000,0 days 00:00:22.509000,0 days 00:42:46.067000,0 days 00:43:14.797000,0 days 00:43:37.306000,279.0,246.0,249.0,294.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:42:16.992000,,1,,False,,False,True
0 days 00:44:57.395000,VER,1,0 days 00:01:20.089000,8.0,1.0,,,0 days 00:00:29.002000,0 days 00:00:28.572000,0 days 00:00:22.515000,0 days 00:44:06.308000,0 days 00:44:34.880000,0 days 00:44:57.395000,276.0,248.0,250.0,293.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:43:37.306000,,1,,False,,False,True
0 days 00:46:17.413000,VER,1,0 days 00:01:20.018000,9.0,1.0,,,0 days 00:00:28.921000,0 days 00:00:28.344000,0 days 00:00:22.753000,0 days 00:45:26.316000,0 days 00:45:54.660000,0 days 00:46:17.413000,280.0,250.0,250.0,290.0,False,SOFT,9.0,True,Red Bull Racing,0 days 00:44:57.395000,,1,,False,,False,True
0 days 00:47:36.993000,VER,1,0 days 00:01:19.580000,10.0,1.0,,,0 days 00:00:28.740000,0 days 00:00:28.348000,0 days 00:00:22.492000,0 days 00:46:46.153000,0 days 00:47:14.501000,0 days 00:47:36.993000,283.0,253.0,251.0,299.0,False,SOFT,10.0,True,Red Bull Racing,0 days 00:46:17.413000,,1,,False,,False,True
