Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:51.339000,VER,1,,1.0,1.0,0 days 00:15:40.724000,,,0 days 00:01:00.664000,0 days 00:00:23.599000,,0 days 00:17:27.905000,0 days 00:17:51.412000,243.0,236.0,268.0,224.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:40.724000,,1,,False,,False,False
0 days 00:19:22.077000,VER,1,0 days 00:01:30.738000,2.0,1.0,,,0 days 00:00:31.570000,0 days 00:00:41.266000,0 days 00:00:17.902000,0 days 00:18:22.909000,0 days 00:19:04.175000,0 days 00:19:22.077000,276.0,303.0,268.0,304.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:51.339000,,1,,False,,False,True
0 days 00:22:20.899000,VER,1,,3.0,1.0,,,0 days 00:01:07.148000,0 days 00:01:20.790000,0 days 00:00:30.984000,0 days 00:20:29.468000,0 days 00:21:49.940000,0 days 00:22:21.057000,137.0,215.0,270.0,207.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:22.077000,,1,,False,,False,False
0 days 00:23:50.589000,VER,1,0 days 00:01:29.690000,4.0,1.0,,,0 days 00:00:31.066000,0 days 00:00:40.904000,0 days 00:00:17.720000,0 days 00:22:51.965000,0 days 00:23:32.869000,0 days 00:23:50.589000,280.0,305.0,270.0,305.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:22:20.899000,,1,,False,,False,True
0 days 00:26:20.118000,VER,1,0 days 00:02:29.529000,5.0,1.0,,0 days 00:26:18.912000,0 days 00:00:53.131000,0 days 00:01:06.143000,0 days 00:00:30.255000,0 days 00:24:43.720000,0 days 00:25:49.863000,0 days 00:26:20.118000,136.0,159.0,,182.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:23:50.589000,,1,,False,,False,False
0 days 00:35:31.526000,VER,1,,6.0,2.0,0 days 00:33:33.675000,,,0 days 00:00:52.418000,0 days 00:00:20.668000,,0 days 00:35:10.873000,0 days 00:35:32.705000,214.0,207.0,268.0,253.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:26:20.118000,,1,,False,,False,False
0 days 00:37:01.052000,VER,1,0 days 00:01:29.526000,7.0,2.0,,,0 days 00:00:31.060000,0 days 00:00:40.766000,0 days 00:00:17.700000,0 days 00:36:02.586000,0 days 00:36:43.352000,0 days 00:37:01.052000,278.0,303.0,269.0,302.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:35:31.526000,,1,,False,,False,True
0 days 00:38:51.688000,VER,1,0 days 00:01:50.636000,8.0,2.0,,0 days 00:38:50.216000,0 days 00:00:44.094000,0 days 00:00:44.368000,0 days 00:00:22.174000,0 days 00:37:45.146000,0 days 00:38:29.514000,0 days 00:38:51.688000,258.0,280.0,,282.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:37:01.052000,,1,,False,,False,False
0 days 00:47:14.468000,VER,1,,9.0,3.0,0 days 00:45:09.148000,,,0 days 00:00:58.460000,0 days 00:00:20.794000,,0 days 00:46:53.962000,0 days 00:47:14.474000,176.0,192.0,271.0,230.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:38:51.688000,,1,,False,,False,False
0 days 00:48:43.533000,VER,1,0 days 00:01:29.065000,10.0,3.0,,,0 days 00:00:30.950000,0 days 00:00:40.619000,0 days 00:00:17.496000,0 days 00:47:45.418000,0 days 00:48:26.037000,0 days 00:48:43.533000,278.0,303.0,270.0,304.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:47:14.468000,,1,,False,,False,True
