Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:17.576000,VER,1,,1.0,1.0,0 days 00:17:50.827000,,,0 days 00:00:34.160000,0 days 00:00:21.651000,,0 days 00:18:56.202000,0 days 00:19:17.749000,268.0,268.0,251.0,274.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:50.827000,,1,,False,,False,False
0 days 00:20:36.490000,VER,1,0 days 00:01:18.914000,2.0,1.0,,,0 days 00:00:27.823000,0 days 00:00:30.650000,0 days 00:00:20.441000,0 days 00:19:45.399000,0 days 00:20:16.049000,0 days 00:20:36.490000,309.0,292.0,250.0,341.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:17.576000,,1,,False,,False,True
0 days 00:22:48.890000,VER,1,0 days 00:02:12.400000,3.0,1.0,,,0 days 00:00:48.912000,0 days 00:00:49.644000,0 days 00:00:33.844000,0 days 00:21:25.402000,0 days 00:22:15.046000,0 days 00:22:48.890000,149.0,146.0,153.0,142.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:36.490000,,1,,False,,False,True
0 days 00:24:36.919000,VER,1,0 days 00:01:48.029000,4.0,1.0,,,0 days 00:00:45.980000,0 days 00:00:39.518000,0 days 00:00:22.531000,0 days 00:23:34.870000,0 days 00:24:14.388000,0 days 00:24:36.919000,151.0,277.0,252.0,209.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:48.890000,,1,,False,,False,True
0 days 00:25:54.970000,VER,1,0 days 00:01:18.051000,5.0,1.0,,,0 days 00:00:27.690000,0 days 00:00:30.300000,0 days 00:00:20.061000,0 days 00:25:04.609000,0 days 00:25:34.909000,0 days 00:25:54.970000,313.0,294.0,250.0,343.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:36.919000,,1,,False,,False,True
0 days 00:28:05.156000,VER,1,0 days 00:02:10.186000,6.0,1.0,,,0 days 00:00:52.371000,0 days 00:00:47.868000,0 days 00:00:29.947000,0 days 00:26:47.341000,0 days 00:27:35.209000,0 days 00:28:05.156000,154.0,172.0,156.0,118.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:25:54.970000,,1,,False,,False,True
0 days 00:30:01.046000,VER,1,0 days 00:01:55.890000,7.0,1.0,,,0 days 00:00:43.948000,0 days 00:00:37.760000,0 days 00:00:34.182000,0 days 00:28:49.104000,0 days 00:29:26.864000,0 days 00:30:01.046000,179.0,205.0,251.0,195.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:05.156000,,1,,False,,False,True
0 days 00:31:19.326000,VER,1,0 days 00:01:18.280000,8.0,1.0,,,0 days 00:00:27.826000,0 days 00:00:30.222000,0 days 00:00:20.232000,0 days 00:30:28.872000,0 days 00:30:59.094000,0 days 00:31:19.326000,313.0,293.0,251.0,344.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:30:01.046000,,1,,False,,False,True
0 days 00:32:50.279000,VER,1,0 days 00:01:30.953000,9.0,1.0,,0 days 00:32:47.683000,0 days 00:00:30.652000,0 days 00:00:33.031000,0 days 00:00:27.270000,0 days 00:31:49.978000,0 days 00:32:23.009000,0 days 00:32:50.279000,229.0,260.0,,298.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:31:19.326000,,1,,False,,False,False
0 days 00:39:57.021000,VER,1,,10.0,2.0,0 days 00:38:20.994000,,,0 days 00:00:33.320000,0 days 00:00:21.259000,,0 days 00:39:35.872000,0 days 00:39:57.057000,266.0,264.0,241.0,297.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:32:50.279000,,1,,False,,False,False
0 days 00:41:19.238000,VER,1,0 days 00:01:22.217000,11.0,2.0,,,0 days 00:00:29.325000,0 days 00:00:31.832000,0 days 00:00:21.060000,0 days 00:40:26.346000,0 days 00:40:58.178000,0 days 00:41:19.238000,280.0,277.0,239.0,312.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:39:57.021000,,1,,False,,False,True
0 days 00:42:41.379000,VER,1,0 days 00:01:22.141000,12.0,2.0,,,0 days 00:00:29.338000,0 days 00:00:31.736000,0 days 00:00:21.067000,0 days 00:41:48.576000,0 days 00:42:20.312000,0 days 00:42:41.379000,277.0,278.0,240.0,316.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:41:19.238000,,1,,False,,False,True
0 days 00:44:03.453000,VER,1,0 days 00:01:22.074000,13.0,2.0,,,0 days 00:00:29.271000,0 days 00:00:31.731000,0 days 00:00:21.072000,0 days 00:43:10.650000,0 days 00:43:42.381000,0 days 00:44:03.453000,284.0,278.0,241.0,317.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:42:41.379000,,1,,False,,False,True
0 days 00:45:25.427000,VER,1,0 days 00:01:21.974000,14.0,2.0,,,0 days 00:00:29.225000,0 days 00:00:31.708000,0 days 00:00:21.041000,0 days 00:44:32.678000,0 days 00:45:04.386000,0 days 00:45:25.427000,280.0,280.0,240.0,316.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:44:03.453000,,1,,False,,False,True
0 days 00:46:47.556000,VER,1,0 days 00:01:22.129000,15.0,2.0,,,0 days 00:00:29.288000,0 days 00:00:31.669000,0 days 00:00:21.172000,0 days 00:45:54.715000,0 days 00:46:26.384000,0 days 00:46:47.556000,,277.0,241.0,323.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:45:25.427000,,1,,False,,False,True
