Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:54.975000,VER,1,,1.0,1.0,0 days 00:13:35.020000,,,0 days 00:00:34.901000,0 days 00:00:40.898000,,0 days 00:15:14.146000,0 days 00:15:54.975000,271.0,249.0,297.0,270.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:13:35.020000,,1,,False,,False,False
0 days 00:17:26.739000,VER,1,0 days 00:01:31.764000,2.0,1.0,,,0 days 00:00:33.681000,0 days 00:00:28.798000,0 days 00:00:29.285000,0 days 00:16:28.656000,0 days 00:16:57.454000,0 days 00:17:26.739000,286.0,322.0,301.0,327.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:15:54.975000,,1,,False,,False,True
0 days 00:20:06.088000,VER,1,,3.0,1.0,,,0 days 00:01:02.034000,0 days 00:00:49.760000,0 days 00:00:47.552000,0 days 00:18:28.896000,0 days 00:19:18.629000,0 days 00:20:06.175000,169.0,153.0,298.0,178.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:17:26.739000,,1,,False,,False,False
0 days 00:21:36.690000,VER,1,0 days 00:01:30.602000,4.0,1.0,,,0 days 00:00:32.967000,0 days 00:00:28.551000,0 days 00:00:29.084000,0 days 00:20:39.055000,0 days 00:21:07.606000,0 days 00:21:36.690000,288.0,322.0,301.0,326.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:06.088000,,1,,False,,False,True
0 days 00:24:27.302000,VER,1,,5.0,1.0,,,0 days 00:01:04.549000,0 days 00:00:58.730000,0 days 00:00:47.349000,0 days 00:22:41.503000,0 days 00:23:40.158000,0 days 00:24:27.330000,132.0,134.0,267.0,174.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:36.690000,,1,,False,,False,False
0 days 00:26:36.076000,VER,1,0 days 00:02:08.774000,6.0,1.0,,,0 days 00:00:51.702000,0 days 00:00:40.929000,0 days 00:00:36.143000,0 days 00:25:19.004000,0 days 00:25:59.933000,0 days 00:26:36.076000,182.0,212.0,304.0,238.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:24:27.302000,,1,,False,,False,True
0 days 00:28:06.140000,VER,1,0 days 00:01:30.064000,7.0,1.0,,,0 days 00:00:32.844000,0 days 00:00:28.449000,0 days 00:00:28.771000,0 days 00:27:08.920000,0 days 00:27:37.369000,0 days 00:28:06.140000,288.0,326.0,303.0,329.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:26:36.076000,,1,,False,,False,True
0 days 00:29:58.210000,VER,1,0 days 00:01:52.070000,8.0,1.0,,0 days 00:29:57.071000,0 days 00:00:43.118000,0 days 00:00:31.511000,0 days 00:00:37.441000,0 days 00:28:49.258000,0 days 00:29:20.769000,0 days 00:29:58.210000,257.0,284.0,,308.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:28:06.140000,,1,,False,,False,False
0 days 00:42:00.214000,VER,1,,9.0,2.0,0 days 00:40:06.256000,,,0 days 00:00:37.005000,0 days 00:00:32.440000,,0 days 00:41:27.837000,0 days 00:42:00.273000,224.0,249.0,298.0,292.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:58.210000,,1,,False,,False,False
0 days 00:43:30.032000,VER,1,0 days 00:01:29.818000,10.0,2.0,,,0 days 00:00:32.690000,0 days 00:00:28.382000,0 days 00:00:28.746000,0 days 00:42:32.904000,0 days 00:43:01.286000,0 days 00:43:30.032000,288.0,325.0,300.0,329.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:00.214000,,1,,False,,False,True
0 days 00:46:03.817000,VER,1,,11.0,2.0,,,0 days 00:01:00.057000,0 days 00:00:55.518000,0 days 00:00:38.178000,0 days 00:44:30.332000,0 days 00:45:25.756000,0 days 00:46:04.856000,116.0,135.0,296.0,250.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:30.032000,,1,,False,,False,False
0 days 00:48:23.504000,VER,1,0 days 00:02:19.687000,12.0,2.0,,,0 days 00:00:50.804000,0 days 00:00:40.756000,0 days 00:00:48.127000,0 days 00:46:54.621000,0 days 00:47:35.377000,0 days 00:48:23.504000,179.0,309.0,296.0,298.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:46:03.817000,,1,,False,,False,True
