Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:13.463000,VER,1,,1.0,1.0,0 days 00:17:02.709000,,,0 days 00:00:54.411000,0 days 00:00:31.401000,,0 days 00:18:42.350000,0 days 00:19:13.517000,281.0,245.0,254.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:02.709000,,1,,False,,False,False
0 days 00:20:46.591000,VER,1,0 days 00:01:33.128000,2.0,1.0,,,0 days 00:00:27.630000,0 days 00:00:39.119000,0 days 00:00:26.379000,0 days 00:19:41.093000,0 days 00:20:20.212000,0 days 00:20:46.591000,306.0,273.0,255.0,297.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:13.463000,,1,,False,,False,True
0 days 00:23:20.552000,VER,1,,3.0,1.0,,,0 days 00:00:51.039000,0 days 00:01:03.150000,0 days 00:00:39.827000,0 days 00:21:37.815000,0 days 00:22:41.103000,0 days 00:23:20.650000,174.0,170.0,168.0,171.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:46.591000,,1,,False,,False,False
0 days 00:25:20.684000,VER,1,0 days 00:02:00.132000,4.0,1.0,,,0 days 00:00:37.121000,0 days 00:00:51.405000,0 days 00:00:31.606000,0 days 00:23:57.673000,0 days 00:24:49.078000,0 days 00:25:20.684000,266.0,236.0,255.0,216.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:23:20.552000,,1,,False,,False,True
0 days 00:26:53.029000,VER,1,0 days 00:01:32.345000,5.0,1.0,,,0 days 00:00:27.412000,0 days 00:00:38.701000,0 days 00:00:26.232000,0 days 00:25:48.096000,0 days 00:26:26.797000,0 days 00:26:53.029000,305.0,271.0,254.0,297.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:25:20.684000,,12,,False,,False,True
0 days 00:29:25.128000,VER,1,,6.0,1.0,,,0 days 00:00:47.554000,0 days 00:01:04.800000,0 days 00:00:39.614000,0 days 00:27:40.830000,0 days 00:28:45.596000,0 days 00:29:25.128000,157.0,169.0,171.0,185.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:26:53.029000,,1,,False,,False,False
0 days 00:31:27.229000,VER,1,0 days 00:02:02.101000,7.0,1.0,,,0 days 00:00:40.315000,0 days 00:00:52.230000,0 days 00:00:29.556000,0 days 00:30:05.443000,0 days 00:30:57.673000,0 days 00:31:27.229000,191.0,249.0,257.0,189.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:29:25.128000,,1,,False,,False,True
0 days 00:33:09.384000,VER,1,0 days 00:01:42.155000,8.0,1.0,,0 days 00:33:03.447000,0 days 00:00:27.283000,0 days 00:00:38.628000,0 days 00:00:36.244000,0 days 00:31:54.512000,0 days 00:32:33.140000,0 days 00:33:09.384000,305.0,272.0,,297.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:31:27.229000,,12,,False,,False,False
0 days 00:48:14.873000,VER,1,,9.0,2.0,0 days 00:46:15.163000,,,0 days 00:00:53.693000,0 days 00:00:30.748000,,0 days 00:47:44.150000,0 days 00:48:14.873000,274.0,214.0,257.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:15.163000,,1,,False,,False,False
0 days 01:02:51.916000,VER,1,,10.0,2.0,,0 days 00:50:24.607000,0 days 00:00:27.077000,,,0 days 00:48:42.024000,,,310.0,,,300.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:48:14.873000,,125,,False,,False,False
0 days 01:05:07.213000,VER,1,,11.0,3.0,0 days 01:02:51.916000,,,0 days 00:00:49.282000,0 days 00:00:30.582000,,0 days 01:04:36.898000,0 days 01:05:07.339000,260.0,248.0,260.0,,False,SOFT,3.0,False,Red Bull Racing,0 days 01:02:51.916000,,1,,False,,False,False
0 days 01:06:38.070000,VER,1,0 days 00:01:30.857000,12.0,3.0,,,0 days 00:00:27.019000,0 days 00:00:38.010000,0 days 00:00:25.828000,0 days 01:05:34.232000,0 days 01:06:12.242000,0 days 01:06:38.070000,307.0,275.0,255.0,301.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:05:07.213000,,12,,False,,False,True
0 days 01:08:45.252000,VER,1,0 days 00:02:07.182000,13.0,3.0,,,0 days 00:00:35.758000,0 days 00:00:56.970000,0 days 00:00:34.454000,0 days 01:07:13.828000,0 days 01:08:10.798000,0 days 01:08:45.252000,158.0,185.0,249.0,199.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:06:38.070000,,1,,False,,False,True
0 days 01:10:20.334000,VER,1,0 days 00:01:35.082000,14.0,3.0,,,0 days 00:00:28.295000,0 days 00:00:39.939000,0 days 00:00:26.848000,0 days 01:09:13.547000,0 days 01:09:53.486000,0 days 01:10:20.334000,285.0,261.0,251.0,281.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:08:45.252000,,1,,False,,False,True
0 days 01:11:54.669000,VER,1,0 days 00:01:34.335000,15.0,3.0,,,0 days 00:00:28.077000,0 days 00:00:39.492000,0 days 00:00:26.766000,0 days 01:10:48.411000,0 days 01:11:27.903000,0 days 01:11:54.669000,282.0,260.0,252.0,279.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:10:20.334000,,1,,False,,False,True
0 days 01:13:28.935000,VER,1,0 days 00:01:34.266000,16.0,3.0,,,0 days 00:00:27.986000,0 days 00:00:39.798000,0 days 00:00:26.482000,0 days 01:12:22.655000,0 days 01:13:02.453000,0 days 01:13:28.935000,286.0,262.0,254.0,283.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:11:54.669000,,1,,False,,False,True
0 days 01:15:02.555000,VER,1,0 days 00:01:33.620000,17.0,3.0,,,0 days 00:00:27.888000,0 days 00:00:39.198000,0 days 00:00:26.534000,0 days 01:13:56.823000,0 days 01:14:36.021000,0 days 01:15:02.555000,,264.0,252.0,281.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:13:28.935000,,12,,False,,False,True
0 days 01:17:42.277000,VER,1,,18.0,3.0,,,0 days 00:00:45.927000,0 days 00:01:03.992000,0 days 00:00:49.513000,0 days 01:15:48.772000,0 days 01:16:52.801000,0 days 01:17:42.287000,146.0,146.0,49.0,185.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:15:02.555000,,1,,False,,False,False
0 days 01:20:13.403000,VER,1,,19.0,3.0,,0 days 01:20:07.497000,0 days 00:01:02.836000,0 days 00:00:50.841000,0 days 00:00:37.560000,0 days 01:18:45.150000,0 days 01:19:35.952000,0 days 01:20:13.403000,253.0,181.0,,179.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:17:42.277000,,1,,False,,False,False
