Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:21.325000,VER,1,,1.0,1.0,0 days 00:16:44.245000,,,0 days 00:00:42.104000,0 days 00:00:26.743000,,0 days 00:17:54.764000,0 days 00:18:21.402000,192.0,145.0,284.0,228.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:16:44.245000,,1,,False,,False,False
0 days 00:19:38.127000,VER,1,0 days 00:01:16.802000,2.0,1.0,,,0 days 00:00:22.782000,0 days 00:00:30.530000,0 days 00:00:23.490000,0 days 00:18:44.107000,0 days 00:19:14.637000,0 days 00:19:38.127000,284.0,291.0,285.0,323.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:21.325000,,1,,False,,False,True
0 days 00:21:53.120000,VER,1,0 days 00:02:14.993000,3.0,1.0,,,0 days 00:00:50.693000,0 days 00:00:57.385000,0 days 00:00:26.915000,0 days 00:20:28.820000,0 days 00:21:26.205000,0 days 00:21:53.120000,106.0,191.0,287.0,108.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:19:38.127000,,1,,False,,False,True
0 days 00:23:08.925000,VER,1,0 days 00:01:15.805000,4.0,1.0,,,0 days 00:00:22.270000,0 days 00:00:30.384000,0 days 00:00:23.151000,0 days 00:22:15.390000,0 days 00:22:45.774000,0 days 00:23:08.925000,288.0,306.0,287.0,323.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:21:53.120000,,1,,False,,False,True
0 days 00:25:30.152000,VER,1,0 days 00:02:21.227000,5.0,1.0,,0 days 00:25:27.453000,0 days 00:00:44.629000,0 days 00:00:56.076000,0 days 00:00:40.522000,0 days 00:23:53.554000,0 days 00:24:49.630000,0 days 00:25:30.152000,130.0,155.0,,119.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:23:08.925000,,1,,False,,False,False
0 days 00:27:42.570000,VER,1,0 days 00:02:12.418000,6.0,2.0,0 days 00:25:43.995000,,0 days 00:00:51.475000,0 days 00:00:48.210000,0 days 00:00:32.733000,0 days 00:26:21.627000,0 days 00:27:09.837000,0 days 00:27:42.570000,140.0,234.0,288.0,147.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:25:30.152000,,1,,False,,False,False
0 days 00:28:58.086000,VER,1,0 days 00:01:15.516000,7.0,2.0,,,0 days 00:00:22.126000,0 days 00:00:30.419000,0 days 00:00:22.971000,0 days 00:28:04.696000,0 days 00:28:35.115000,0 days 00:28:58.086000,289.0,306.0,291.0,325.0,True,HARD,7.0,False,Red Bull Racing,0 days 00:27:42.570000,,1,,False,,False,True
0 days 00:30:31.076000,VER,1,0 days 00:01:32.990000,8.0,2.0,,0 days 00:30:28.328000,0 days 00:00:26.448000,0 days 00:00:38.052000,0 days 00:00:28.490000,0 days 00:29:24.534000,0 days 00:30:02.586000,0 days 00:30:31.076000,140.0,223.0,,271.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:28:58.086000,,1,,False,,False,False
0 days 00:44:47.282000,VER,1,,9.0,3.0,0 days 00:42:57.169000,,,0 days 00:00:45.992000,0 days 00:00:26.374000,,0 days 00:44:21.041000,0 days 00:44:47.286000,146.0,243.0,290.0,218.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:30:31.076000,,1,,False,,False,False
0 days 00:46:01.367000,VER,1,0 days 00:01:14.085000,10.0,3.0,,,0 days 00:00:21.924000,0 days 00:00:29.685000,0 days 00:00:22.476000,0 days 00:45:09.206000,0 days 00:45:38.891000,0 days 00:46:01.367000,288.0,311.0,291.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:47.282000,,1,,False,,False,True
0 days 00:47:47.023000,VER,1,0 days 00:01:45.656000,11.0,3.0,,0 days 00:47:44.187000,0 days 00:00:32.189000,0 days 00:00:39.319000,0 days 00:00:34.148000,0 days 00:46:33.556000,0 days 00:47:12.875000,0 days 00:47:47.023000,192.0,203.0,,140.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:46:01.367000,,1,,False,,False,False
0 days 01:09:14.358000,VER,1,,12.0,4.0,0 days 01:07:39.122000,,,0 days 00:00:33.416000,0 days 00:00:26.619000,,0 days 01:08:47.873000,0 days 01:09:14.440000,255.0,164.0,277.0,239.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:47:47.023000,,12,,False,,False,False
0 days 01:10:34.275000,VER,1,0 days 00:01:19.917000,13.0,4.0,,,0 days 00:00:23.922000,0 days 00:00:32.115000,0 days 00:00:23.880000,0 days 01:09:38.280000,0 days 01:10:10.395000,0 days 01:10:34.275000,262.0,259.0,277.0,301.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:09:14.358000,,1,,False,,False,True
0 days 01:11:53.871000,VER,1,0 days 00:01:19.596000,14.0,4.0,,,0 days 00:00:23.793000,0 days 00:00:32.022000,0 days 00:00:23.781000,0 days 01:10:58.068000,0 days 01:11:30.090000,0 days 01:11:53.871000,265.0,274.0,279.0,305.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:10:34.275000,,1,,False,,False,True
0 days 01:13:13.379000,VER,1,0 days 00:01:19.508000,15.0,4.0,,,0 days 00:00:23.719000,0 days 00:00:31.936000,0 days 00:00:23.853000,0 days 01:12:17.590000,0 days 01:12:49.526000,0 days 01:13:13.379000,264.0,279.0,279.0,307.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:11:53.871000,,1,,False,,False,True
