Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:51.752000,VER,1,,1.0,1.0,0 days 00:15:04.498000,,,0 days 00:00:43.935000,0 days 00:00:35.675000,,0 days 00:16:16.271000,0 days 00:16:51.927000,198.0,170.0,205.0,280.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:04.498000,,1,,False,,False,False
0 days 00:18:30.549000,VER,1,0 days 00:01:38.797000,2.0,1.0,,,0 days 00:00:26.655000,0 days 00:00:40.054000,0 days 00:00:32.088000,0 days 00:17:18.407000,0 days 00:17:58.461000,0 days 00:18:30.549000,226.0,182.0,202.0,300.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:16:51.752000,,1,,False,,False,True
0 days 00:21:17.468000,VER,1,,3.0,1.0,,,0 days 00:00:48.089000,0 days 00:01:03.585000,0 days 00:00:55.138000,0 days 00:19:18.857000,0 days 00:20:22.456000,0 days 00:21:17.468000,104.0,125.0,205.0,165.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:18:30.549000,,1,,False,,False,False
0 days 00:22:53.660000,VER,1,0 days 00:01:36.192000,4.0,1.0,,,0 days 00:00:26.109000,0 days 00:00:38.603000,0 days 00:00:31.480000,0 days 00:21:43.577000,0 days 00:22:22.180000,0 days 00:22:53.660000,225.0,187.0,197.0,321.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:21:17.468000,,1,,False,,False,True
0 days 00:25:39.451000,VER,1,,5.0,1.0,,,0 days 00:00:53.161000,0 days 00:01:08.867000,0 days 00:00:43.732000,0 days 00:23:46.982000,0 days 00:24:55.870000,0 days 00:25:39.451000,132.0,141.0,210.0,166.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:22:53.660000,,1,,False,,False,False
0 days 00:27:14.877000,VER,1,0 days 00:01:35.426000,6.0,1.0,,,0 days 00:00:25.718000,0 days 00:00:38.466000,0 days 00:00:31.242000,0 days 00:26:05.169000,0 days 00:26:43.635000,0 days 00:27:14.877000,227.0,186.0,204.0,322.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:25:39.451000,,1,,False,,False,True
0 days 00:30:02.243000,VER,1,,7.0,1.0,,,0 days 00:00:51.103000,0 days 00:01:14.205000,0 days 00:00:42.140000,0 days 00:28:05.996000,0 days 00:29:20.281000,0 days 00:30:02.243000,126.0,144.0,212.0,109.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:27:14.877000,,1,,False,,False,False
0 days 00:31:37.923000,VER,1,0 days 00:01:35.680000,8.0,1.0,,,0 days 00:00:25.727000,0 days 00:00:38.395000,0 days 00:00:31.558000,0 days 00:30:27.970000,0 days 00:31:06.365000,0 days 00:31:37.923000,224.0,188.0,208.0,323.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:30:02.243000,,1,,False,,False,True
0 days 00:33:40.539000,VER,1,0 days 00:02:02.616000,9.0,1.0,,0 days 00:33:39.473000,0 days 00:00:36.529000,0 days 00:00:48.187000,0 days 00:00:37.900000,0 days 00:32:14.452000,0 days 00:33:02.639000,0 days 00:33:40.539000,172.0,151.0,,186.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:31:37.923000,,1,,False,,False,False
0 days 00:42:42.122000,VER,1,,10.0,2.0,0 days 00:40:55.437000,,,0 days 00:00:41.500000,0 days 00:00:38.974000,,0 days 00:42:03.368000,0 days 00:42:42.384000,205.0,178.0,202.0,291.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:40:55.437000,,1,,False,,False,False
