Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:27:51.470000,VER,1,,1.0,1.0,0 days 00:26:19.475000,,,0 days 00:00:40.387000,0 days 00:00:31.629000,,0 days 00:27:20.066000,0 days 00:27:51.605000,151.0,211.0,285.0,241.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:26:19.475000,,1,,False,,False,False
0 days 00:28:57.124000,VER,1,0 days 00:01:05.654000,2.0,1.0,,,0 days 00:00:16.666000,0 days 00:00:29.266000,0 days 00:00:19.722000,0 days 00:28:08.136000,0 days 00:28:37.402000,0 days 00:28:57.124000,316.0,244.0,285.0,316.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:27:51.470000,,1,,False,,False,True
0 days 00:31:16.508000,VER,1,0 days 00:02:19.384000,3.0,1.0,,,0 days 00:00:33.922000,0 days 00:01:02.250000,0 days 00:00:43.212000,0 days 00:29:31.046000,0 days 00:30:33.296000,0 days 00:31:16.508000,109.0,106.0,132.0,121.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:28:57.124000,,1,,False,,False,True
0 days 00:33:09.158000,VER,1,0 days 00:01:52.650000,4.0,1.0,,,0 days 00:00:36.033000,0 days 00:00:52.290000,0 days 00:00:24.327000,0 days 00:31:52.541000,0 days 00:32:44.831000,0 days 00:33:09.158000,131.0,110.0,284.0,158.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:31:16.508000,,1,,False,,False,True
0 days 00:34:14.997000,VER,1,0 days 00:01:05.839000,5.0,1.0,,,0 days 00:00:16.638000,0 days 00:00:29.423000,0 days 00:00:19.778000,0 days 00:33:25.796000,0 days 00:33:55.219000,0 days 00:34:14.997000,314.0,242.0,276.0,315.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:33:09.158000,,1,,False,,False,True
0 days 00:35:35.891000,VER,1,0 days 00:01:20.894000,6.0,1.0,,0 days 00:35:32.522000,0 days 00:00:20.334000,0 days 00:00:34.343000,0 days 00:00:26.217000,0 days 00:34:35.331000,0 days 00:35:09.674000,0 days 00:35:35.891000,237.0,220.0,,246.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:34:14.997000,,1,,False,,False,False
0 days 00:47:52.942000,VER,1,,7.0,2.0,0 days 00:46:26.445000,,,0 days 00:00:42.796000,0 days 00:00:22.952000,,0 days 00:47:30.343000,0 days 00:47:53.027000,230.0,175.0,282.0,202.0,False,SOFT,,True,Red Bull Racing,0 days 00:35:35.891000,,1,,False,,False,False
0 days 00:48:58.346000,VER,1,0 days 00:01:05.404000,8.0,2.0,,,0 days 00:00:16.582000,0 days 00:00:29.150000,0 days 00:00:19.672000,0 days 00:48:09.524000,0 days 00:48:38.674000,0 days 00:48:58.346000,315.0,243.0,283.0,317.0,True,SOFT,,True,Red Bull Racing,0 days 00:47:52.942000,,1,,False,,False,True
0 days 00:51:02.201000,VER,1,0 days 00:02:03.855000,9.0,2.0,,,0 days 00:00:31.383000,0 days 00:00:54.473000,0 days 00:00:37.999000,0 days 00:49:29.729000,0 days 00:50:24.202000,0 days 00:51:02.201000,131.0,130.0,131.0,145.0,False,SOFT,,True,Red Bull Racing,0 days 00:48:58.346000,,1,,False,,False,True
0 days 00:53:07.521000,VER,1,0 days 00:02:05.320000,10.0,2.0,,,0 days 00:00:34.924000,0 days 00:01:04.046000,0 days 00:00:26.350000,0 days 00:51:37.125000,0 days 00:52:41.171000,0 days 00:53:07.521000,126.0,44.0,287.0,127.0,False,SOFT,,True,Red Bull Racing,0 days 00:51:02.201000,,1,,False,,False,True
0 days 00:54:12.419000,VER,1,0 days 00:01:04.898000,11.0,2.0,,,0 days 00:00:16.398000,0 days 00:00:28.911000,0 days 00:00:19.589000,0 days 00:53:23.919000,0 days 00:53:52.830000,0 days 00:54:12.419000,318.0,245.0,278.0,319.0,True,SOFT,,True,Red Bull Racing,0 days 00:53:07.521000,,1,,False,,False,True
0 days 00:55:29.110000,VER,1,0 days 00:01:16.691000,12.0,2.0,,0 days 00:55:25.781000,0 days 00:00:19.183000,0 days 00:00:31.914000,0 days 00:00:25.594000,0 days 00:54:31.602000,0 days 00:55:03.516000,0 days 00:55:29.110000,265.0,225.0,,283.0,False,SOFT,,True,Red Bull Racing,0 days 00:54:12.419000,,1,,False,,False,False
0 days 01:03:24.348000,VER,1,,13.0,3.0,0 days 01:02:05.374000,,,0 days 00:00:35.136000,0 days 00:00:24.838000,,0 days 01:02:59.569000,0 days 01:03:24.365000,249.0,222.0,269.0,238.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:55:29.110000,,1,,False,,False,False
0 days 01:04:34.548000,VER,1,0 days 00:01:10.200000,14.0,3.0,,,0 days 00:00:17.695000,0 days 00:00:31.078000,0 days 00:00:21.427000,0 days 01:03:42.043000,0 days 01:04:13.121000,0 days 01:04:34.548000,295.0,227.0,269.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:03:24.348000,,1,,False,,False,True
0 days 01:05:44.491000,VER,1,0 days 00:01:09.943000,15.0,3.0,,,0 days 00:00:17.678000,0 days 00:00:31.114000,0 days 00:00:21.151000,0 days 01:04:52.226000,0 days 01:05:23.340000,0 days 01:05:44.491000,289.0,225.0,269.0,292.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:04:34.548000,,1,,False,,False,True
0 days 01:06:54.341000,VER,1,0 days 00:01:09.850000,16.0,3.0,,,0 days 00:00:17.624000,0 days 00:00:31.168000,0 days 00:00:21.058000,0 days 01:06:02.115000,0 days 01:06:33.283000,0 days 01:06:54.341000,288.0,225.0,269.0,291.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:05:44.491000,,1,,False,,False,True
0 days 01:08:03.875000,VER,1,0 days 00:01:09.534000,17.0,3.0,,,0 days 00:00:17.572000,0 days 00:00:31.006000,0 days 00:00:20.956000,0 days 01:07:11.913000,0 days 01:07:42.919000,0 days 01:08:03.875000,290.0,226.0,270.0,294.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:06:54.341000,,1,,False,,False,True
0 days 01:09:13.882000,VER,1,0 days 00:01:10.007000,18.0,3.0,,,0 days 00:00:17.670000,0 days 00:00:31.277000,0 days 00:00:21.060000,0 days 01:08:21.545000,0 days 01:08:52.822000,0 days 01:09:13.882000,289.0,221.0,270.0,292.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:08:03.875000,,1,,False,,False,True
0 days 01:10:27.456000,VER,1,0 days 00:01:13.574000,19.0,3.0,,0 days 01:10:24.146000,0 days 00:00:17.760000,0 days 00:00:31.309000,0 days 00:00:24.505000,0 days 01:09:31.642000,0 days 01:10:02.951000,0 days 01:10:27.456000,292.0,223.0,,294.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:09:13.882000,,1,,False,,False,False
0 days 01:11:57.149000,VER,1,0 days 00:01:29.693000,20.0,4.0,0 days 01:10:45.990000,,0 days 00:00:35.316000,0 days 00:00:31.961000,0 days 00:00:22.416000,0 days 01:11:02.772000,0 days 01:11:34.733000,0 days 01:11:57.149000,241.0,231.0,269.0,294.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:10:27.456000,,1,,False,,False,False
0 days 01:13:06.322000,VER,1,0 days 00:01:09.173000,21.0,4.0,,,0 days 00:00:17.687000,0 days 00:00:30.607000,0 days 00:00:20.879000,0 days 01:12:14.836000,0 days 01:12:45.443000,0 days 01:13:06.322000,287.0,229.0,270.0,291.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:11:57.149000,,1,,False,,False,True
