Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:20:23.286000,VER,1,,1.0,1.0,0 days 00:17:59.935000,,,0 days 00:00:50.523000,0 days 00:00:25.978000,,0 days 00:19:57.532000,0 days 00:20:23.386000,195.0,211.0,338.0,307.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:59.935000,,1,,False,,False,False
0 days 00:22:06.512000,VER,1,0 days 00:01:43.226000,2.0,1.0,,,0 days 00:00:36.401000,0 days 00:00:41.995000,0 days 00:00:24.830000,0 days 00:20:59.687000,0 days 00:21:41.682000,0 days 00:22:06.512000,215.0,234.0,338.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:23.286000,,12,,False,,False,True
0 days 00:24:58.171000,VER,1,,3.0,1.0,,,0 days 00:01:06.613000,0 days 00:01:18.815000,0 days 00:00:26.228000,0 days 00:23:13.259000,0 days 00:24:31.943000,0 days 00:24:58.333000,108.0,202.0,340.0,300.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:22:06.512000,,1,,False,,False,False
0 days 00:26:40.666000,VER,1,0 days 00:01:42.495000,4.0,1.0,,,0 days 00:00:36.004000,0 days 00:00:41.761000,0 days 00:00:24.730000,0 days 00:25:34.175000,0 days 00:26:15.936000,0 days 00:26:40.666000,223.0,239.0,341.0,322.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:24:58.171000,,12,,False,,False,True
0 days 00:29:36.636000,VER,1,,5.0,1.0,,,0 days 00:01:12.098000,0 days 00:01:17.312000,0 days 00:00:26.536000,0 days 00:27:52.928000,0 days 00:29:10.131000,0 days 00:29:36.748000,112.0,205.0,337.0,298.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:26:40.666000,,1,,False,,False,False
0 days 00:31:19.138000,VER,1,0 days 00:01:42.502000,6.0,1.0,,,0 days 00:00:36.106000,0 days 00:00:41.539000,0 days 00:00:24.857000,0 days 00:30:12.742000,0 days 00:30:54.281000,0 days 00:31:19.138000,225.0,237.0,340.0,321.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:29:36.636000,,1,,False,,False,True
0 days 00:33:21.307000,VER,1,0 days 00:02:02.169000,7.0,1.0,,0 days 00:33:19.886000,0 days 00:00:40.966000,0 days 00:00:49.842000,0 days 00:00:31.361000,0 days 00:32:00.104000,0 days 00:32:49.946000,0 days 00:33:21.307000,184.0,179.0,,298.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:31:19.138000,,1,,False,,False,False
0 days 00:46:14.800000,VER,1,,8.0,2.0,0 days 00:43:59.227000,,,0 days 00:00:57.057000,0 days 00:00:25.520000,,0 days 00:45:49.462000,0 days 00:46:14.812000,193.0,221.0,341.0,309.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:33:21.307000,,1,,False,,False,False
0 days 00:47:56.736000,VER,1,0 days 00:01:41.936000,9.0,2.0,,,0 days 00:00:35.687000,0 days 00:00:41.544000,0 days 00:00:24.705000,0 days 00:46:50.487000,0 days 00:47:32.031000,0 days 00:47:56.736000,225.0,230.0,343.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:46:14.800000,,12,,False,,False,True
0 days 00:50:48.970000,VER,1,,10.0,2.0,,,0 days 00:01:09.862000,0 days 00:01:03.637000,0 days 00:00:38.826000,0 days 00:49:06.819000,0 days 00:50:10.444000,0 days 00:50:49.150000,88.0,142.0,207.0,197.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:47:56.736000,,12,,False,,False,False
0 days 00:52:55.430000,VER,1,0 days 00:02:06.460000,11.0,2.0,,,0 days 00:00:45.920000,0 days 00:00:54.627000,0 days 00:00:25.913000,0 days 00:51:34.890000,0 days 00:52:29.517000,0 days 00:52:55.430000,167.0,209.0,338.0,306.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:50:48.970000,,12,,False,,False,True
0 days 00:54:37.332000,VER,1,0 days 00:01:41.902000,12.0,2.0,,,0 days 00:00:35.837000,0 days 00:00:41.354000,0 days 00:00:24.711000,0 days 00:53:31.267000,0 days 00:54:12.621000,0 days 00:54:37.332000,226.0,243.0,341.0,321.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:52:55.430000,,1,,False,,False,True
0 days 00:56:46.800000,VER,1,0 days 00:02:09.468000,13.0,2.0,,0 days 00:56:45.492000,0 days 00:00:44.165000,0 days 00:00:53.622000,0 days 00:00:31.681000,0 days 00:55:21.497000,0 days 00:56:15.119000,0 days 00:56:46.800000,156.0,182.0,,294.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:54:37.332000,,12,,False,,False,False
0 days 01:04:41.901000,VER,1,,14.0,3.0,0 days 01:02:36.033000,,,0 days 00:00:45.115000,0 days 00:00:25.559000,,0 days 01:04:16.589000,0 days 01:04:42.536000,189.0,210.0,322.0,316.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:56:46.800000,,1,,False,,False,False
0 days 01:06:31.152000,VER,1,0 days 00:01:49.251000,15.0,3.0,,,0 days 00:00:38.050000,0 days 00:00:45.607000,0 days 00:00:25.594000,0 days 01:05:19.951000,0 days 01:06:05.558000,0 days 01:06:31.152000,193.0,205.0,323.0,315.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:04:41.901000,,12,,False,,False,True
0 days 01:08:17.946000,VER,1,0 days 00:01:46.794000,16.0,3.0,,,0 days 00:00:37.844000,0 days 00:00:43.488000,0 days 00:00:25.462000,0 days 01:07:08.996000,0 days 01:07:52.484000,0 days 01:08:17.946000,204.0,218.0,325.0,318.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:06:31.152000,,1,,False,,False,True
0 days 01:10:04.513000,VER,1,0 days 00:01:46.567000,17.0,3.0,,,0 days 00:00:37.739000,0 days 00:00:43.444000,0 days 00:00:25.384000,0 days 01:08:55.685000,0 days 01:09:39.129000,0 days 01:10:04.513000,202.0,221.0,326.0,319.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:08:17.946000,,1,,False,,False,True
0 days 01:11:51.215000,VER,1,0 days 00:01:46.702000,18.0,3.0,,,0 days 00:00:37.861000,0 days 00:00:43.403000,0 days 00:00:25.438000,0 days 01:10:42.374000,0 days 01:11:25.777000,0 days 01:11:51.215000,206.0,222.0,326.0,319.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:10:04.513000,,1,,False,,False,True
0 days 01:13:40.694000,VER,1,0 days 00:01:49.479000,19.0,3.0,,,0 days 00:00:40.284000,0 days 00:00:43.675000,0 days 00:00:25.520000,0 days 01:12:31.499000,0 days 01:13:15.174000,0 days 01:13:40.694000,197.0,222.0,326.0,317.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:11:51.215000,,12,,False,,False,True
0 days 01:15:26.893000,VER,1,0 days 00:01:46.199000,20.0,3.0,,,0 days 00:00:37.743000,0 days 00:00:43.189000,0 days 00:00:25.267000,0 days 01:14:18.437000,0 days 01:15:01.626000,0 days 01:15:26.893000,205.0,226.0,329.0,321.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:13:40.694000,,12,,False,,False,True
0 days 01:18:14.504000,VER,1,,21.0,3.0,,,0 days 00:00:55.723000,0 days 00:01:02.733000,0 days 00:00:49.035000,0 days 01:16:22.848000,0 days 01:17:25.551000,0 days 01:18:14.504000,111.0,153.0,86.0,210.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:15:26.893000,,1,,False,,False,False
0 days 01:20:50.507000,VER,1,,22.0,3.0,,0 days 01:20:49.023000,0 days 00:01:06.702000,0 days 00:00:49.057000,0 days 00:00:40.282000,0 days 01:19:21.316000,0 days 01:20:10.277000,0 days 01:20:50.507000,171.0,203.0,,249.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:18:14.504000,,146,,False,,False,False
0 days 00:23:30.134000,NOR,4,,1.0,1.0,0 days 00:21:15.308000,,,0 days 00:00:53.327000,0 days 00:00:25.934000,,0 days 00:23:04.436000,0 days 00:23:30.356000,141.0,190.0,334.0,306.0,False,SOFT,1.0,True,McLaren,0 days 00:21:15.308000,,12,,False,,False,False
0 days 00:25:12.333000,NOR,4,0 days 00:01:42.199000,2.0,1.0,,,0 days 00:00:35.879000,0 days 00:00:41.510000,0 days 00:00:24.810000,0 days 00:24:06.013000,0 days 00:24:47.523000,0 days 00:25:12.333000,224.0,228.0,340.0,322.0,True,SOFT,2.0,True,McLaren,0 days 00:23:30.134000,,12,,False,,False,True
0 days 00:28:03.439000,NOR,4,,3.0,1.0,,,0 days 00:01:00.082000,0 days 00:01:11.556000,0 days 00:00:39.293000,0 days 00:26:12.746000,0 days 00:27:24.146000,0 days 00:28:03.445000,116.0,127.0,193.0,176.0,False,SOFT,3.0,True,McLaren,0 days 00:25:12.333000,,21,,False,,False,False
0 days 00:30:36.881000,NOR,4,,4.0,1.0,,,0 days 00:01:00.963000,0 days 00:01:02.492000,0 days 00:00:30.128000,0 days 00:29:04.475000,0 days 00:30:06.917000,0 days 00:30:37.061000,113.0,122.0,338.0,307.0,False,SOFT,4.0,True,McLaren,0 days 00:28:03.439000,,1,,False,,False,False
0 days 00:32:25.506000,NOR,4,0 days 00:01:48.625000,5.0,1.0,,0 days 00:32:23.975000,0 days 00:00:35.837000,0 days 00:00:41,0 days 00:00:31.788000,0 days 00:31:12.718000,0 days 00:31:53.718000,0 days 00:32:25.506000,221.0,228.0,,296.0,False,SOFT,5.0,True,McLaren,0 days 00:30:36.881000,,1,,False,,False,False
0 days 00:44:33.405000,NOR,4,,6.0,2.0,0 days 00:42:39.535000,,,0 days 00:00:49.045000,0 days 00:00:25.842000,,0 days 00:44:07.680000,0 days 00:44:33.405000,194.0,200.0,334.0,307.0,False,SOFT,1.0,True,McLaren,0 days 00:32:25.506000,,1,,False,,False,False
0 days 00:48:52.814000,NOR,4,,7.0,2.0,,0 days 00:48:52.814000,0 days 00:00:39.714000,,,0 days 00:45:13.327000,,,91.0,57.0,,70.0,False,SOFT,2.0,True,McLaren,0 days 00:44:33.405000,,12,,False,,False,False
0 days 00:18:45.591000,BOR,5,,1.0,1.0,0 days 00:16:35.091000,,,0 days 00:00:48.891000,0 days 00:00:26.705000,,0 days 00:18:19.042000,0 days 00:18:45.745000,157.0,201.0,329.0,298.0,False,MEDIUM,1.0,True,Kick Sauber,0 days 00:16:35.091000,,1,,False,,False,False
0 days 00:20:30.043000,BOR,5,0 days 00:01:44.452000,2.0,1.0,,,0 days 00:00:36.981000,0 days 00:00:42.457000,0 days 00:00:25.014000,0 days 00:19:22.572000,0 days 00:20:05.029000,0 days 00:20:30.043000,220.0,239.0,337.0,319.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:18:45.591000,,1,,False,,False,True
0 days 00:23:01.163000,BOR,5,,3.0,1.0,,,0 days 00:00:57.007000,0 days 00:01:07.591000,0 days 00:00:26.471000,0 days 00:21:27.246000,0 days 00:22:34.871000,0 days 00:23:01.233000,129.0,156.0,340.0,307.0,False,MEDIUM,3.0,True,Kick Sauber,0 days 00:20:30.043000,,12,,False,,False,False
0 days 00:24:43.724000,BOR,5,0 days 00:01:42.561000,4.0,1.0,,,0 days 00:00:36.235000,0 days 00:00:41.736000,0 days 00:00:24.590000,0 days 00:23:37.398000,0 days 00:24:19.134000,0 days 00:24:43.724000,221.0,233.0,348.0,328.0,True,MEDIUM,4.0,True,Kick Sauber,0 days 00:23:01.163000,,1,,False,,False,True
0 days 00:27:34.309000,BOR,5,,5.0,1.0,,,0 days 00:01:04.609000,0 days 00:01:15.140000,0 days 00:00:30.826000,0 days 00:25:48.471000,0 days 00:27:03.483000,0 days 00:27:34.347000,121.0,63.0,329.0,290.0,False,MEDIUM,5.0,True,Kick Sauber,0 days 00:24:43.724000,,12,,False,,False,False
0 days 00:29:22.060000,BOR,5,0 days 00:01:47.751000,6.0,1.0,,,0 days 00:00:36.831000,0 days 00:00:44.401000,0 days 00:00:26.519000,0 days 00:28:11.140000,0 days 00:28:55.541000,0 days 00:29:22.060000,219.0,217.0,243.0,299.0,False,MEDIUM,6.0,True,Kick Sauber,0 days 00:27:34.309000,,1,,False,,False,True
