Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:30.177000,VER,1,,1.0,1.0,0 days 00:12:49.989000,,,0 days 00:01:07.719000,0 days 00:00:28.187000,,0 days 00:15:02.155000,0 days 00:15:30.179000,170.0,87.0,285.0,36.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:12:49.989000,,1,,False,,False,False
0 days 00:17:44.182000,VER,1,0 days 00:02:14.005000,2.0,1.0,,,0 days 00:00:29.261000,0 days 00:01:02.769000,0 days 00:00:41.975000,0 days 00:15:59.438000,0 days 00:17:02.207000,0 days 00:17:44.182000,240.0,109.0,163.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:15:30.177000,,1,,False,,False,True
0 days 00:20:26.460000,VER,1,,3.0,1.0,,,0 days 00:00:57.433000,0 days 00:01:08.706000,0 days 00:00:36.180000,0 days 00:18:41.761000,0 days 00:19:50.467000,0 days 00:20:26.549000,118.0,118.0,199.0,136.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:17:44.182000,,1,,False,,False,False
0 days 00:22:49.889000,VER,1,0 days 00:02:23.429000,4.0,1.0,,,0 days 00:00:45.914000,0 days 00:01:00.296000,0 days 00:00:37.219000,0 days 00:21:12.374000,0 days 00:22:12.670000,0 days 00:22:49.889000,149.0,188.0,287.0,196.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:20:26.460000,,1,,False,,False,True
0 days 00:24:22.265000,VER,1,0 days 00:01:32.376000,5.0,1.0,,,0 days 00:00:29.362000,0 days 00:00:39.923000,0 days 00:00:23.091000,0 days 00:23:19.251000,0 days 00:23:59.174000,0 days 00:24:22.265000,240.0,270.0,286.0,323.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:22:49.889000,,1,,False,,False,True
0 days 00:26:07.655000,VER,1,0 days 00:01:45.390000,6.0,1.0,,0 days 00:26:05.838000,0 days 00:00:33.813000,0 days 00:00:42.776000,0 days 00:00:28.801000,0 days 00:24:56.078000,0 days 00:25:38.854000,0 days 00:26:07.655000,208.0,239.0,,247.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:24:22.265000,,1,,False,,False,False
0 days 00:35:34.584000,VER,1,,7.0,2.0,0 days 00:33:25.729000,,,0 days 00:01:00.206000,0 days 00:00:27.005000,,0 days 00:35:07.677000,0 days 00:35:34.654000,146.0,157.0,288.0,120.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:26:07.655000,,1,,False,,False,False
0 days 00:37:05.914000,VER,1,0 days 00:01:31.330000,8.0,2.0,,,0 days 00:00:28.926000,0 days 00:00:39.322000,0 days 00:00:23.082000,0 days 00:36:03.510000,0 days 00:36:42.832000,0 days 00:37:05.914000,242.0,271.0,286.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:35:34.584000,,1,,False,,False,True
0 days 00:38:54.203000,VER,1,0 days 00:01:48.289000,9.0,2.0,,0 days 00:38:52.371000,0 days 00:00:34.866000,0 days 00:00:44.620000,0 days 00:00:28.803000,0 days 00:37:40.780000,0 days 00:38:25.400000,0 days 00:38:54.203000,212.0,220.0,,205.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:37:05.914000,,1,,False,,False,False
0 days 00:47:51.666000,VER,1,,10.0,3.0,0 days 00:45:56.476000,,,0 days 00:00:45.074000,0 days 00:00:24.376000,,0 days 00:47:27.395000,0 days 00:47:51.807000,223.0,235.0,272.0,197.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:38:54.203000,,1,,False,,False,False
0 days 00:49:29.446000,VER,1,0 days 00:01:37.780000,11.0,3.0,,,0 days 00:00:31.201000,0 days 00:00:42.546000,0 days 00:00:24.033000,0 days 00:48:22.867000,0 days 00:49:05.413000,0 days 00:49:29.446000,231.0,236.0,273.0,290.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:47:51.666000,,1,,False,,False,True
0 days 00:51:07.253000,VER,1,0 days 00:01:37.807000,12.0,3.0,,,0 days 00:00:31.188000,0 days 00:00:42.507000,0 days 00:00:24.112000,0 days 00:50:00.634000,0 days 00:50:43.141000,0 days 00:51:07.253000,,238.0,274.0,286.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:49:29.446000,,1,,False,,False,True
0 days 00:52:45.235000,VER,1,0 days 00:01:37.982000,13.0,3.0,,,0 days 00:00:31.332000,0 days 00:00:42.479000,0 days 00:00:24.171000,0 days 00:51:38.585000,0 days 00:52:21.064000,0 days 00:52:45.235000,230.0,239.0,273.0,288.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:51:07.253000,,1,,False,,False,True
