Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:58.731000,VER,1,,1.0,1.0,0 days 00:15:40.249000,,,0 days 00:01:05.083000,0 days 00:00:38.739000,,0 days 00:17:20.276000,0 days 00:17:58.876000,278.0,145.0,224.0,226.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:40.249000,,1,,False,,False,False
0 days 00:19:44.276000,VER,1,0 days 00:01:45.545000,2.0,1.0,,,0 days 00:00:30.742000,0 days 00:00:46.217000,0 days 00:00:28.586000,0 days 00:18:29.473000,0 days 00:19:15.690000,0 days 00:19:44.276000,327.0,209.0,220.0,314.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:58.731000,,1,,False,,False,True
0 days 00:22:06.566000,VER,1,0 days 00:02:22.290000,3.0,1.0,,0 days 00:22:02.838000,0 days 00:00:41.697000,0 days 00:01:02.060000,0 days 00:00:38.533000,0 days 00:20:25.973000,0 days 00:21:28.033000,0 days 00:22:06.566000,225.0,166.0,,215.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:19:44.276000,,1,,False,,False,False
0 days 00:25:07.476000,VER,1,,4.0,2.0,0 days 00:22:34.220000,,0 days 00:01:04.326000,0 days 00:01:17.358000,0 days 00:00:39.211000,0 days 00:23:11.170000,0 days 00:24:28.362000,0 days 00:25:07.603000,199.0,126.0,227.0,187.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:22:06.566000,,1,,False,,False,False
0 days 00:26:51.712000,VER,1,0 days 00:01:44.236000,5.0,2.0,,,0 days 00:00:30.341000,0 days 00:00:45.446000,0 days 00:00:28.449000,0 days 00:25:37.817000,0 days 00:26:23.263000,0 days 00:26:51.712000,341.0,206.0,222.0,314.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:25:07.476000,,1,,False,,False,True
0 days 00:29:09.906000,VER,1,0 days 00:02:18.194000,6.0,2.0,,0 days 00:29:06.041000,0 days 00:00:36.013000,0 days 00:01:03.001000,0 days 00:00:39.180000,0 days 00:27:27.725000,0 days 00:28:30.726000,0 days 00:29:09.906000,229.0,164.0,,246.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:26:51.712000,,1,,False,,False,False
0 days 00:32:00.972000,VER,1,,7.0,3.0,0 days 00:29:40.687000,,0 days 00:01:06.835000,0 days 00:01:08.112000,0 days 00:00:36.040000,0 days 00:30:16.971000,0 days 00:31:25.081000,0 days 00:32:00.972000,205.0,155.0,227.0,203.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:29:09.906000,,1,,False,,False,False
0 days 00:33:52.775000,VER,1,0 days 00:01:51.803000,8.0,3.0,,0 days 00:33:48.870000,0 days 00:00:30.337000,0 days 00:00:45.516000,0 days 00:00:35.950000,0 days 00:32:31.309000,0 days 00:33:16.825000,0 days 00:33:52.775000,337.0,208.0,,315.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:32:00.972000,,1,,False,,False,False
0 days 00:44:00.683000,VER,1,,9.0,4.0,0 days 00:41:47.436000,,,0 days 00:00:50.462000,0 days 00:00:30.624000,,0 days 00:43:30.224000,0 days 00:44:00.688000,282.0,195.0,205.0,271.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:33:52.775000,,1,,False,,False,False
0 days 00:45:49.466000,VER,1,0 days 00:01:48.783000,10.0,4.0,,,0 days 00:00:31.055000,0 days 00:00:48.654000,0 days 00:00:29.074000,0 days 00:44:31.738000,0 days 00:45:20.392000,0 days 00:45:49.466000,324.0,202.0,214.0,314.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:44:00.683000,,1,,False,,False,True
0 days 00:47:38.342000,VER,1,0 days 00:01:48.876000,11.0,4.0,,,0 days 00:00:31.097000,0 days 00:00:48.762000,0 days 00:00:29.017000,0 days 00:46:20.563000,0 days 00:47:09.325000,0 days 00:47:38.342000,325.0,204.0,218.0,,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:45:49.466000,,1,,False,,False,True
0 days 00:49:26.609000,VER,1,0 days 00:01:48.267000,12.0,4.0,,,0 days 00:00:30.855000,0 days 00:00:48.419000,0 days 00:00:28.993000,0 days 00:48:09.197000,0 days 00:48:57.616000,0 days 00:49:26.609000,324.0,203.0,218.0,318.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:47:38.342000,,1,,False,,False,True
0 days 00:51:14.596000,VER,1,0 days 00:01:47.987000,13.0,4.0,,,0 days 00:00:30.774000,0 days 00:00:48.249000,0 days 00:00:28.964000,0 days 00:49:57.383000,0 days 00:50:45.632000,0 days 00:51:14.596000,,205.0,218.0,,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:49:26.609000,,1,,False,,False,True
0 days 00:53:02.926000,VER,1,0 days 00:01:48.330000,14.0,4.0,,,0 days 00:00:31.074000,0 days 00:00:48.283000,0 days 00:00:28.973000,0 days 00:51:45.670000,0 days 00:52:33.953000,0 days 00:53:02.926000,322.0,203.0,213.0,315.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 00:51:14.596000,,1,,False,,False,True
0 days 00:54:51.355000,VER,1,0 days 00:01:48.429000,15.0,4.0,,,0 days 00:00:31.245000,0 days 00:00:48.244000,0 days 00:00:28.940000,0 days 00:53:34.171000,0 days 00:54:22.415000,0 days 00:54:51.355000,323.0,202.0,214.0,314.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 00:53:02.926000,,1,,False,,False,True
0 days 00:56:46.018000,VER,1,0 days 00:01:54.663000,16.0,4.0,,0 days 00:56:42.161000,0 days 00:00:31.172000,0 days 00:00:48.278000,0 days 00:00:35.213000,0 days 00:55:22.527000,0 days 00:56:10.805000,0 days 00:56:46.018000,,203.0,,313.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 00:54:51.355000,,1,,False,,False,False
0 days 01:06:01.426000,VER,1,,17.0,5.0,0 days 01:03:35.389000,,,0 days 00:01:08.813000,0 days 00:00:38.802000,,0 days 01:05:22.877000,0 days 01:06:01.522000,210.0,144.0,230.0,192.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:56:46.018000,,1,,False,,False,False
0 days 01:07:44.079000,VER,1,0 days 00:01:42.653000,18.0,5.0,,,0 days 00:00:30.009000,0 days 00:00:44.672000,0 days 00:00:27.972000,0 days 01:06:31.435000,0 days 01:07:16.107000,0 days 01:07:44.079000,346.0,210.0,225.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:06:01.426000,,1,,False,,False,True
0 days 01:10:51.386000,VER,1,,19.0,5.0,,0 days 01:10:47.563000,0 days 00:01:01.925000,0 days 00:01:22.627000,0 days 00:00:42.650000,0 days 01:08:46.488000,0 days 01:10:08.865000,0 days 01:10:51.386000,120.0,154.0,,154.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:44.079000,,12,,False,,False,False
