Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:38:01.875000,VER,1,,1.0,1.0,0 days 00:36:01.499000,,,0 days 00:00:49.364000,0 days 00:00:32.467000,,0 days 00:37:29.646000,0 days 00:38:01.981000,283.0,201.0,256.0,275.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:36:01.499000,,1,,False,,False,False
0 days 00:39:28.374000,VER,1,0 days 00:01:26.499000,2.0,1.0,,,0 days 00:00:28.038000,0 days 00:00:34.713000,0 days 00:00:23.748000,0 days 00:38:29.913000,0 days 00:39:04.626000,0 days 00:39:28.374000,321.0,269.0,254.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:38:01.875000,,1,,False,,False,True
0 days 00:42:22.937000,VER,1,,3.0,1.0,,0 days 00:42:17.024000,0 days 00:00:55.567000,0 days 00:01:18.170000,0 days 00:00:40.839000,0 days 00:40:24.247000,0 days 00:41:42.201000,0 days 00:42:22.982000,113.0,122.0,,164.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:39:28.374000,,1,,False,,False,False
0 days 00:44:49.150000,VER,1,0 days 00:02:26.213000,4.0,2.0,0 days 00:42:50.414000,,0 days 00:01:08.876000,0 days 00:00:48.165000,0 days 00:00:29.172000,0 days 00:43:31.813000,0 days 00:44:19.978000,0 days 00:44:49.150000,207.0,229.0,258.0,260.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:42:22.937000,,1,,False,,False,False
0 days 00:46:15.316000,VER,1,0 days 00:01:26.166000,5.0,2.0,,,0 days 00:00:28.008000,0 days 00:00:34.560000,0 days 00:00:23.598000,0 days 00:45:17.158000,0 days 00:45:51.718000,0 days 00:46:15.316000,322.0,271.0,254.0,324.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:44:49.150000,,1,,False,,False,True
0 days 00:48:55.284000,VER,1,,6.0,2.0,,0 days 00:48:49.326000,0 days 00:00:52.481000,0 days 00:01:12.304000,0 days 00:00:35.108000,0 days 00:47:08.131000,0 days 00:48:20.176000,0 days 00:48:55.315000,141.0,144.0,,177.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:46:15.316000,,1,,False,,False,False
0 days 00:51:25.433000,VER,1,,7.0,3.0,0 days 00:49:29.252000,,0 days 00:01:13.522000,0 days 00:00:50.426000,0 days 00:00:26.320000,0 days 00:50:08.959000,0 days 00:50:59.401000,0 days 00:51:25.560000,184.0,245.0,258.0,298.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:48:55.284000,,1,,False,,False,False
0 days 00:52:51.578000,VER,1,0 days 00:01:26.145000,8.0,3.0,,,0 days 00:00:27.828000,0 days 00:00:34.552000,0 days 00:00:23.765000,0 days 00:51:53.261000,0 days 00:52:27.813000,0 days 00:52:51.578000,323.0,271.0,253.0,325.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:51:25.433000,,1,,False,,False,True
0 days 00:54:46.644000,VER,1,0 days 00:01:55.066000,9.0,3.0,,0 days 00:54:40.744000,0 days 00:00:38.328000,0 days 00:00:48.521000,0 days 00:00:28.217000,0 days 00:53:29.906000,0 days 00:54:18.427000,0 days 00:54:46.644000,121.0,238.0,,239.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:52:51.578000,,1,,False,,False,False
0 days 01:04:35.459000,VER,1,,10.0,4.0,0 days 01:02:46.303000,,,0 days 00:00:48.139000,0 days 00:00:27.121000,,0 days 01:04:08.490000,0 days 01:04:35.592000,238.0,210.0,257.0,291.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:54:46.644000,,1,,False,,False,False
