Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:19:58.919000,VER,1,0 days 00:01:49.496000,1.0,1.0,0 days 00:18:13.324000,,0 days 00:00:41.239000,0 days 00:00:25.513000,0 days 00:00:42.744000,0 days 00:18:50.871000,0 days 00:19:16.356000,0 days 00:19:59.038000,251.0,270.0,293.0,267.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:13.324000,,1,,False,,False,False
0 days 00:21:41.390000,VER,1,0 days 00:01:42.471000,2.0,1.0,,,0 days 00:00:24.423000,0 days 00:00:33.003000,0 days 00:00:45.045000,0 days 00:20:23.342000,0 days 00:20:56.345000,0 days 00:21:41.390000,162.0,265.0,291.0,159.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:58.919000,,12,,False,,False,True
0 days 00:22:54.819000,VER,1,0 days 00:01:13.429000,3.0,1.0,,,0 days 00:00:20.526000,0 days 00:00:23.357000,0 days 00:00:29.546000,0 days 00:22:01.916000,0 days 00:22:25.273000,0 days 00:22:54.819000,257.0,281.0,290.0,327.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:21:41.390000,,1,,False,,False,True
0 days 00:24:52.985000,VER,1,0 days 00:01:58.166000,4.0,1.0,,,0 days 00:00:36.944000,0 days 00:00:44.880000,0 days 00:00:36.342000,0 days 00:23:31.763000,0 days 00:24:16.643000,0 days 00:24:52.985000,170.0,178.0,292.0,276.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:22:54.819000,,12,,False,,False,True
0 days 00:26:06.231000,VER,1,0 days 00:01:13.246000,5.0,1.0,,,0 days 00:00:20.529000,0 days 00:00:23.321000,0 days 00:00:29.396000,0 days 00:25:13.514000,0 days 00:25:36.835000,0 days 00:26:06.231000,255.0,281.0,292.0,324.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:24:52.985000,,1,,False,,False,True
0 days 00:28:24.108000,VER,1,0 days 00:02:17.877000,6.0,1.0,,,0 days 00:00:37.491000,0 days 00:00:51.720000,0 days 00:00:48.666000,0 days 00:26:43.722000,0 days 00:27:35.442000,0 days 00:28:24.108000,105.0,130.0,294.0,258.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:26:06.231000,,1,,False,,False,True
0 days 00:29:36.923000,VER,1,0 days 00:01:12.815000,7.0,1.0,,,0 days 00:00:20.362000,0 days 00:00:22.975000,0 days 00:00:29.478000,0 days 00:28:44.470000,0 days 00:29:07.445000,0 days 00:29:36.923000,258.0,283.0,292.0,326.0,True,SOFT,7.0,True,Red Bull Racing,0 days 00:28:24.108000,,1,,False,,False,True
0 days 00:37:32.232000,VER,1,,8.0,1.0,,0 days 00:30:55.048000,0 days 00:00:23.457000,0 days 00:00:27.123000,,0 days 00:30:00.548000,0 days 00:30:27.751000,,228.0,250.0,,287.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:29:36.923000,,1,,False,,False,False
0 days 00:38:57.650000,VER,1,0 days 00:01:25.418000,9.0,2.0,0 days 00:37:33.772000,,0 days 00:00:25.884000,0 days 00:00:25.480000,0 days 00:00:34.054000,0 days 00:37:58.116000,0 days 00:38:23.596000,0 days 00:38:57.650000,250.0,271.0,179.0,276.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:37:32.232000,,12,,False,,False,False
0 days 00:40:38.782000,VER,1,0 days 00:01:41.132000,10.0,2.0,,,0 days 00:00:31.082000,0 days 00:00:31.496000,0 days 00:00:38.554000,0 days 00:39:28.732000,0 days 00:40:00.228000,0 days 00:40:38.782000,190.0,262.0,292.0,153.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:38:57.650000,,21,,False,,False,True
0 days 00:41:54.721000,VER,1,0 days 00:01:15.939000,11.0,2.0,,,0 days 00:00:20.217000,0 days 00:00:23.002000,0 days 00:00:32.720000,0 days 00:40:58.999000,0 days 00:41:22.001000,0 days 00:41:54.721000,259.0,284.0,161.0,325.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:40:38.782000,,1,,False,,False,True
0 days 00:44:03.482000,VER,1,0 days 00:02:08.761000,12.0,2.0,,,0 days 00:00:38.930000,0 days 00:00:42.259000,0 days 00:00:47.572000,0 days 00:42:33.651000,0 days 00:43:15.910000,0 days 00:44:03.482000,129.0,187.0,291.0,127.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:41:54.721000,,1,,False,,False,True
