Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:10.304000,VER,1,,1.0,1.0,0 days 00:15:01.433000,,,0 days 00:00:39.764000,0 days 00:00:26.831000,,0 days 00:16:43.654000,0 days 00:17:10.493000,236.0,178.0,252.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:01.433000,,1,,False,,False,False
0 days 00:18:29.840000,VER,1,0 days 00:01:19.536000,2.0,1.0,,,0 days 00:00:29.028000,0 days 00:00:28.290000,0 days 00:00:22.218000,0 days 00:17:39.332000,0 days 00:18:07.622000,0 days 00:18:29.840000,276.0,246.0,249.0,300.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:10.304000,,1,,False,,False,True
0 days 00:20:58.015000,VER,1,0 days 00:02:28.175000,3.0,1.0,,0 days 00:20:56.225000,0 days 00:01:00.569000,0 days 00:00:53.460000,0 days 00:00:34.146000,0 days 00:19:30.409000,0 days 00:20:23.869000,0 days 00:20:58.015000,97.0,130.0,,169.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:29.840000,,1,,False,,False,False
0 days 00:23:19.524000,VER,1,0 days 00:02:21.509000,4.0,2.0,0 days 00:21:20.500000,,0 days 00:01:04.362000,0 days 00:00:51.803000,0 days 00:00:25.344000,0 days 00:22:02.377000,0 days 00:22:54.180000,0 days 00:23:19.524000,184.0,112.0,252.0,,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:20:58.015000,,1,,False,,False,False
0 days 00:24:38.002000,VER,1,0 days 00:01:18.478000,5.0,2.0,,,0 days 00:00:28.757000,0 days 00:00:27.863000,0 days 00:00:21.858000,0 days 00:23:48.281000,0 days 00:24:16.144000,0 days 00:24:38.002000,277.0,251.0,252.0,301.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:23:19.524000,,1,,False,,False,True
0 days 00:26:58.630000,VER,1,0 days 00:02:20.628000,6.0,2.0,,,0 days 00:00:50.837000,0 days 00:00:53.704000,0 days 00:00:36.087000,0 days 00:25:28.839000,0 days 00:26:22.543000,0 days 00:26:58.630000,136.0,147.0,195.0,176.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:24:38.002000,,1,,False,,False,True
0 days 00:28:55.737000,VER,1,0 days 00:01:57.107000,7.0,2.0,,,0 days 00:00:43.227000,0 days 00:00:39.414000,0 days 00:00:34.466000,0 days 00:27:41.857000,0 days 00:28:21.271000,0 days 00:28:55.737000,163.0,210.0,254.0,233.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:26:58.630000,,1,,False,,False,True
0 days 00:30:13.931000,VER,1,0 days 00:01:18.194000,8.0,2.0,,,0 days 00:00:28.522000,0 days 00:00:27.718000,0 days 00:00:21.954000,0 days 00:29:24.259000,0 days 00:29:51.977000,0 days 00:30:13.931000,275.0,252.0,251.0,302.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:28:55.737000,,1,,False,,False,True
0 days 00:31:54.538000,VER,1,0 days 00:01:40.607000,9.0,2.0,,0 days 00:31:52.853000,0 days 00:00:32.874000,0 days 00:00:37.498000,0 days 00:00:30.235000,0 days 00:30:46.805000,0 days 00:31:24.303000,0 days 00:31:54.538000,205.0,201.0,,245.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:30:13.931000,,1,,False,,False,False
0 days 00:47:11.129000,VER,1,,10.0,3.0,0 days 00:45:19.274000,,,0 days 00:00:44.569000,0 days 00:00:26.985000,,0 days 00:46:44.442000,0 days 00:47:11.271000,170.0,169.0,254.0,,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:54.538000,,1267,,False,,False,False
