Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:37.892000,BAD,1,,1.0,1.0,0 days 00:14:42.510000,,,0 days 00:00:30.062000,0 days 00:00:37.261000,,0 days 00:16:00.805000,0 days 00:16:37.960000,310.0,317.0,307.0,241.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:14:42.510000,,1,,False,,False,False
0 days 00:18:00.536000,BAD,1,0 days 00:01:22.644000,2.0,1.0,,,0 days 00:00:27.395000,0 days 00:00:27.784000,0 days 00:00:27.465000,0 days 00:17:05.287000,0 days 00:17:33.071000,0 days 00:18:00.536000,319.0,334.0,310.0,334.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:16:37.892000,,1,,False,,False,True
0 days 00:20:19.337000,BAD,1,0 days 00:02:18.801000,3.0,1.0,,,0 days 00:00:48.884000,0 days 00:00:53.399000,0 days 00:00:36.518000,0 days 00:18:49.420000,0 days 00:19:42.819000,0 days 00:20:19.337000,179.0,174.0,310.0,146.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:00.536000,,1,,False,,False,True
0 days 00:21:40.855000,BAD,1,0 days 00:01:21.518000,4.0,1.0,,,0 days 00:00:27.141000,0 days 00:00:27.398000,0 days 00:00:26.979000,0 days 00:20:46.478000,0 days 00:21:13.876000,0 days 00:21:40.855000,319.0,334.0,310.0,335.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:19.337000,,1,,False,,False,True
0 days 00:24:16.387000,BAD,1,,5.0,1.0,,,0 days 00:00:55.610000,0 days 00:01:00.808000,0 days 00:00:38.994000,0 days 00:22:36.675000,0 days 00:23:37.571000,0 days 00:24:16.391000,126.0,167.0,311.0,107.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:40.855000,,1,,False,,False,False
0 days 00:25:37.553000,BAD,1,0 days 00:01:21.166000,6.0,1.0,,,0 days 00:00:27.162000,0 days 00:00:27.197000,0 days 00:00:26.807000,0 days 00:24:43.549000,0 days 00:25:10.746000,0 days 00:25:37.553000,320.0,331.0,310.0,335.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:24:16.387000,,1,,False,,False,True
0 days 00:28:14.807000,BAD,1,,7.0,1.0,,,0 days 00:00:54.746000,0 days 00:00:56.594000,0 days 00:00:45.969000,0 days 00:26:32.441000,0 days 00:27:29.127000,0 days 00:28:14.807000,109.0,199.0,311.0,123.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:25:37.553000,,1,,False,,False,False
0 days 00:29:35.558000,BAD,1,0 days 00:01:20.751000,8.0,1.0,,,0 days 00:00:26.905000,0 days 00:00:26.963000,0 days 00:00:26.883000,0 days 00:28:41.712000,0 days 00:29:08.675000,0 days 00:29:35.558000,320.0,336.0,310.0,344.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:28:14.807000,,1,,False,,False,True
0 days 00:31:25.326000,BAD,1,0 days 00:01:49.768000,9.0,1.0,,0 days 00:31:21.516000,0 days 00:00:31.898000,0 days 00:00:42.595000,0 days 00:00:35.275000,0 days 00:30:07.456000,0 days 00:30:50.051000,0 days 00:31:25.326000,262.0,280.0,,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:29:35.558000,,1,,False,,False,False
0 days 00:42:57.181000,BAD,1,,10.0,2.0,0 days 00:41:20.066000,,,0 days 00:00:30.867000,0 days 00:00:34.253000,,0 days 00:42:23.174000,0 days 00:42:57.372000,314.0,314.0,310.0,212.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:25.326000,,12,,False,,False,False
0 days 00:44:17.873000,BAD,1,0 days 00:01:20.692000,11.0,2.0,,,0 days 00:00:26.977000,0 days 00:00:26.935000,0 days 00:00:26.780000,0 days 00:43:24.158000,0 days 00:43:51.093000,0 days 00:44:17.873000,320.0,333.0,304.0,342.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:57.181000,,1,,False,,False,True
0 days 00:47:08.387000,BAD,1,,12.0,2.0,,0 days 00:47:04.429000,0 days 00:00:51.807000,0 days 00:00:57.872000,0 days 00:01:00.745000,0 days 00:45:09.946000,0 days 00:46:07.771000,0 days 00:47:08.387000,137.0,148.0,,122.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:17.873000,,1,,False,,False,False
0 days 00:58:24.985000,BAD,1,,13.0,3.0,0 days 00:47:27.475000,0 days 00:50:04.456000,0 days 00:01:15.595000,,,0 days 00:48:24.087000,,,125.0,,,137.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:47:08.387000,,15,,False,,False,False
0 days 01:00:03.028000,BAD,1,,14.0,4.0,0 days 00:58:24.985000,,,0 days 00:00:29.659000,0 days 00:00:33.625000,,0 days 00:59:29.527000,0 days 01:00:03.308000,313.0,310.0,311.0,249.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:58:24.985000,,1,,False,,False,False
0 days 01:01:23.905000,BAD,1,0 days 00:01:20.877000,15.0,4.0,,,0 days 00:00:26.922000,0 days 00:00:27.060000,0 days 00:00:26.895000,0 days 01:00:29.950000,0 days 01:00:57.010000,0 days 01:01:23.905000,320.0,333.0,310.0,338.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:00:03.028000,,1,,False,,False,True
0 days 01:03:01.430000,BAD,1,0 days 00:01:37.525000,16.0,4.0,,0 days 01:02:57.504000,0 days 00:00:29.814000,0 days 00:00:30.992000,0 days 00:00:36.719000,0 days 01:01:53.719000,0 days 01:02:24.711000,0 days 01:03:01.430000,295.0,304.0,,248.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:01:23.905000,,1,,False,,False,False
0 days 01:09:43.251000,BAD,1,,17.0,5.0,0 days 01:07:59.296000,,,0 days 00:00:29.616000,0 days 00:00:31.813000,,0 days 01:09:11.580000,0 days 01:09:43.336000,309.0,312.0,303.0,237.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:03:01.430000,,1,,False,,False,False
0 days 01:11:07.682000,BAD,1,0 days 00:01:24.431000,18.0,5.0,,,0 days 00:00:27.733000,0 days 00:00:28.699000,0 days 00:00:27.999000,0 days 01:10:10.984000,0 days 01:10:39.683000,0 days 01:11:07.682000,310.0,309.0,303.0,314.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:09:43.251000,,1,,False,,False,True
