Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:55.163000,BOR,5,,1.0,1.0,0 days 00:17:04.587000,,,0 days 00:00:38.612000,0 days 00:00:29.418000,,0 days 00:18:25.907000,0 days 00:18:55.266000,172.0,274.0,242.0,208.0,False,HARD,1.0,True,Kick Sauber,0 days 00:17:04.587000,,1,,False,,False,False
0 days 00:20:28.649000,BOR,5,0 days 00:01:33.486000,2.0,1.0,,,0 days 00:00:29.812000,0 days 00:00:34.658000,0 days 00:00:29.016000,0 days 00:19:24.975000,0 days 00:19:59.633000,0 days 00:20:28.649000,266.0,261.0,245.0,341.0,True,HARD,2.0,True,Kick Sauber,0 days 00:18:55.163000,,1,,False,,False,True
0 days 00:21:53.610000,BOR,5,0 days 00:01:24.961000,3.0,1.0,,,0 days 00:00:29.027000,0 days 00:00:33.871000,0 days 00:00:22.063000,0 days 00:20:57.676000,0 days 00:21:31.547000,0 days 00:21:53.610000,294.0,283.0,246.0,,True,HARD,3.0,True,Kick Sauber,0 days 00:20:28.649000,,1,,False,,False,True
0 days 00:23:58.042000,BOR,5,0 days 00:02:04.432000,4.0,1.0,,,0 days 00:00:38.842000,0 days 00:00:45.033000,0 days 00:00:40.557000,0 days 00:22:32.452000,0 days 00:23:17.485000,0 days 00:23:58.042000,162.0,163.0,243.0,223.0,False,HARD,4.0,True,Kick Sauber,0 days 00:21:53.610000,,1,,False,,False,True
0 days 00:25:20.957000,BOR,5,0 days 00:01:22.915000,5.0,1.0,,,0 days 00:00:29.080000,0 days 00:00:32.349000,0 days 00:00:21.486000,0 days 00:24:27.122000,0 days 00:24:59.471000,0 days 00:25:20.957000,303.0,286.0,246.0,340.0,True,HARD,5.0,True,Kick Sauber,0 days 00:23:58.042000,,1,,False,,False,True
0 days 00:27:20.471000,BOR,5,0 days 00:01:59.514000,6.0,1.0,,,0 days 00:00:41.938000,0 days 00:00:46.330000,0 days 00:00:31.246000,0 days 00:26:02.895000,0 days 00:26:49.225000,0 days 00:27:20.471000,121.0,241.0,244.0,205.0,False,HARD,6.0,True,Kick Sauber,0 days 00:25:20.957000,,1,,False,,False,True
0 days 00:28:42.462000,BOR,5,0 days 00:01:21.991000,7.0,1.0,,,0 days 00:00:28.814000,0 days 00:00:31.991000,0 days 00:00:21.186000,0 days 00:27:49.285000,0 days 00:28:21.276000,0 days 00:28:42.462000,308.0,286.0,248.0,338.0,True,HARD,7.0,True,Kick Sauber,0 days 00:27:20.471000,,1,,False,,False,True
0 days 00:30:58.448000,BOR,5,0 days 00:02:15.986000,8.0,1.0,,,0 days 00:00:45.179000,0 days 00:00:53.598000,0 days 00:00:37.209000,0 days 00:29:27.641000,0 days 00:30:21.239000,0 days 00:30:58.448000,121.0,141.0,244.0,164.0,False,HARD,8.0,True,Kick Sauber,0 days 00:28:42.462000,,12,,False,,False,True
0 days 00:32:30.069000,BOR,5,0 days 00:01:31.621000,9.0,1.0,,0 days 00:32:27.564000,0 days 00:00:28.620000,0 days 00:00:31.829000,0 days 00:00:31.172000,0 days 00:31:27.068000,0 days 00:31:58.897000,0 days 00:32:30.069000,307.0,286.0,,340.0,False,HARD,9.0,True,Kick Sauber,0 days 00:30:58.448000,,1,,False,,False,False
0 days 00:34:35.569000,BOR,5,0 days 00:02:05.500000,10.0,2.0,0 days 00:32:52.846000,,0 days 00:00:59.919000,0 days 00:00:40.730000,0 days 00:00:24.851000,0 days 00:33:29.988000,0 days 00:34:10.718000,0 days 00:34:35.569000,213.0,266.0,246.0,190.0,False,HARD,10.0,False,Kick Sauber,0 days 00:32:30.069000,,1,,False,,False,False
