Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:00.065000,VER,1,0 days 00:01:33.267000,1.0,1.0,0 days 00:15:27.503000,,0 days 00:00:28.119000,0 days 00:00:43.001000,0 days 00:00:22.147000,0 days 00:15:55.113000,0 days 00:16:38.100000,0 days 00:17:00.189000,166.0,171.0,242.0,263.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:27.503000,,1,,False,,False,False
0 days 00:18:21.136000,VER,1,0 days 00:01:21.071000,2.0,1.0,,,0 days 00:00:20.586000,0 days 00:00:37.825000,0 days 00:00:22.660000,0 days 00:17:20.651000,0 days 00:17:58.476000,0 days 00:18:21.136000,192.0,181.0,264.0,272.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:00.065000,,1,,False,,False,True
0 days 00:19:34.058000,VER,1,0 days 00:01:12.922000,3.0,1.0,,,0 days 00:00:19.063000,0 days 00:00:34.617000,0 days 00:00:19.242000,0 days 00:18:40.199000,0 days 00:19:14.816000,0 days 00:19:34.058000,212.0,198.0,261.0,277.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:21.136000,,1,,False,,False,True
0 days 00:28:58.979000,VER,1,,4.0,1.0,,0 days 00:21:16.774000,0 days 00:00:25.776000,0 days 00:00:56.764000,,0 days 00:20:00.089000,0 days 00:20:56.789000,,120.0,120.0,,162.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:34.058000,,125,,False,,False,False
0 days 00:30:28.567000,VER,1,0 days 00:01:29.588000,5.0,2.0,0 days 00:28:59.629000,,0 days 00:00:26.676000,0 days 00:00:39.969000,0 days 00:00:22.943000,0 days 00:29:25.655000,0 days 00:30:05.624000,0 days 00:30:28.567000,169.0,176.0,246.0,263.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 00:28:59.629000,,1,,False,,False,False
0 days 00:31:57.411000,VER,1,0 days 00:01:28.844000,6.0,2.0,,,0 days 00:00:20.996000,0 days 00:00:40.907000,0 days 00:00:26.941000,0 days 00:30:49.563000,0 days 00:31:30.470000,0 days 00:31:57.411000,194.0,182.0,264.0,270.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 00:30:28.567000,,1,,False,,False,True
0 days 00:39:49.539000,VER,1,,7.0,2.0,,0 days 00:35:06.853000,0 days 00:00:18.923000,0 days 00:00:34.555000,,0 days 00:32:16.584000,0 days 00:32:50.973000,,214.0,199.0,,277.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:31:57.411000,,125,,False,,False,False
0 days 00:41:28.698000,VER,1,0 days 00:01:39.159000,8.0,3.0,0 days 00:39:52.815000,,0 days 00:00:35.145000,0 days 00:00:39.003000,0 days 00:00:25.011000,0 days 00:40:24.684000,0 days 00:41:03.687000,0 days 00:41:28.698000,184.0,161.0,242.0,269.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:39:52.815000,,1,,False,,False,False
0 days 00:42:50.449000,VER,1,0 days 00:01:21.751000,9.0,3.0,,,0 days 00:00:20.543000,0 days 00:00:40.403000,0 days 00:00:20.805000,0 days 00:41:49.241000,0 days 00:42:29.644000,0 days 00:42:50.449000,185.0,168.0,266.0,261.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:41:28.698000,,1,,False,,False,True
0 days 00:44:24.775000,VER,1,0 days 00:01:34.326000,10.0,3.0,,,0 days 00:00:21.279000,0 days 00:00:44.261000,0 days 00:00:28.786000,0 days 00:43:11.728000,0 days 00:43:55.989000,0 days 00:44:24.775000,109.0,140.0,265.0,206.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:42:50.449000,,1,,False,,False,True
0 days 00:45:37.446000,VER,1,0 days 00:01:12.671000,11.0,3.0,,,0 days 00:00:19.016000,0 days 00:00:34.286000,0 days 00:00:19.369000,0 days 00:44:43.791000,0 days 00:45:18.077000,0 days 00:45:37.446000,214.0,203.0,263.0,276.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:44:24.775000,,1,,False,,False,True
0 days 00:47:32.541000,VER,1,0 days 00:01:55.095000,12.0,3.0,,0 days 00:47:13.831000,0 days 00:00:28.330000,0 days 00:00:48.270000,0 days 00:00:38.495000,0 days 00:46:05.776000,0 days 00:46:54.046000,0 days 00:47:32.541000,133.0,133.0,,185.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:45:37.446000,,1,,False,,False,False
0 days 00:49:15.059000,VER,1,0 days 00:01:42.518000,13.0,4.0,0 days 00:47:33.222000,,0 days 00:00:29.486000,0 days 00:00:51.933000,0 days 00:00:21.099000,0 days 00:48:02.027000,0 days 00:48:53.960000,0 days 00:49:15.059000,94.0,147.0,265.0,209.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:47:32.541000,,1,,False,,False,False
0 days 00:50:27.210000,VER,1,0 days 00:01:12.151000,14.0,4.0,,,0 days 00:00:18.845000,0 days 00:00:34.257000,0 days 00:00:19.049000,0 days 00:49:33.904000,0 days 00:50:08.161000,0 days 00:50:27.210000,219.0,204.0,260.0,276.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:49:15.059000,,1,,False,,False,True
0 days 00:52:15.208000,VER,1,0 days 00:01:47.998000,15.0,4.0,,,0 days 00:00:27.840000,0 days 00:00:50.517000,0 days 00:00:29.641000,0 days 00:50:55.050000,0 days 00:51:45.567000,0 days 00:52:15.208000,102.0,148.0,264.0,201.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:50:27.210000,,1,,False,,False,True
0 days 00:53:27.276000,VER,1,0 days 00:01:12.068000,16.0,4.0,,,0 days 00:00:18.807000,0 days 00:00:34.227000,0 days 00:00:19.034000,0 days 00:52:34.015000,0 days 00:53:08.242000,0 days 00:53:27.276000,215.0,204.0,264.0,277.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:52:15.208000,,1,,False,,False,True
0 days 01:00:15.337000,VER,1,,17.0,4.0,,0 days 00:54:46.344000,0 days 00:00:20.498000,0 days 00:00:41.504000,,0 days 00:53:47.922000,0 days 00:54:29.563000,,186.0,166.0,,255.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:53:27.276000,,1,,False,,False,False
0 days 01:01:52.425000,VER,1,0 days 00:01:37.088000,18.0,5.0,0 days 01:00:15.861000,,0 days 00:00:26.048000,0 days 00:00:41.019000,0 days 00:00:30.021000,0 days 01:00:41.385000,0 days 01:01:22.404000,0 days 01:01:52.425000,180.0,173.0,247.0,265.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:00:15.337000,,1,,False,,False,False
0 days 01:03:11.012000,VER,1,0 days 00:01:18.587000,19.0,5.0,,,0 days 00:00:20.978000,0 days 00:00:36.923000,0 days 00:00:20.686000,0 days 01:02:13.403000,0 days 01:02:50.326000,0 days 01:03:11.012000,186.0,178.0,250.0,252.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:01:52.425000,,1,,False,,False,True
0 days 01:04:31.562000,VER,1,0 days 00:01:20.550000,20.0,5.0,,,0 days 00:00:20.854000,0 days 00:00:38.946000,0 days 00:00:20.750000,0 days 01:03:31.866000,0 days 01:04:10.812000,0 days 01:04:31.562000,199.0,177.0,251.0,249.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:03:11.012000,,12,,False,,False,True
0 days 01:05:48.746000,VER,1,0 days 00:01:17.184000,21.0,5.0,,,0 days 00:00:20.727000,0 days 00:00:36.073000,0 days 00:00:20.384000,0 days 01:04:52.289000,0 days 01:05:28.362000,0 days 01:05:48.746000,195.0,172.0,252.0,255.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:04:31.562000,,21,,False,,False,True
0 days 01:08:04.508000,VER,1,0 days 00:02:15.762000,22.0,5.0,,,0 days 00:00:20.672000,0 days 00:01:28.848000,0 days 00:00:26.242000,0 days 01:06:09.418000,0 days 01:07:38.266000,0 days 01:08:04.508000,198.0,186.0,248.0,247.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:05:48.746000,,12,,False,,False,True
0 days 01:09:22.155000,VER,1,0 days 00:01:17.647000,23.0,5.0,,,0 days 00:00:20.650000,0 days 00:00:36.502000,0 days 00:00:20.495000,0 days 01:08:25.158000,0 days 01:09:01.660000,0 days 01:09:22.155000,195.0,180.0,252.0,250.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:08:04.508000,,1,,False,,False,True
0 days 01:10:38.190000,VER,1,0 days 00:01:16.035000,24.0,5.0,,,0 days 00:00:20.415000,0 days 00:00:35.635000,0 days 00:00:19.985000,0 days 01:09:42.570000,0 days 01:10:18.205000,0 days 01:10:38.190000,202.0,194.0,250.0,264.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:09:22.155000,,1,,False,,False,True
0 days 01:11:53.478000,VER,1,0 days 00:01:15.288000,25.0,5.0,,,0 days 00:00:19.857000,0 days 00:00:35.620000,0 days 00:00:19.811000,0 days 01:10:58.047000,0 days 01:11:33.667000,0 days 01:11:53.478000,205.0,194.0,251.0,258.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:10:38.190000,,1,,False,,False,True
0 days 01:13:07.892000,VER,1,0 days 00:01:14.414000,26.0,5.0,,,0 days 00:00:19.543000,0 days 00:00:35.122000,0 days 00:00:19.749000,0 days 01:12:13.021000,0 days 01:12:48.143000,0 days 01:13:07.892000,207.0,194.0,253.0,272.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:11:53.478000,,1,,False,,False,True
0 days 01:14:21.813000,VER,1,0 days 00:01:13.921000,27.0,5.0,,,0 days 00:00:19.343000,0 days 00:00:35.078000,0 days 00:00:19.500000,0 days 01:13:27.235000,0 days 01:14:02.313000,0 days 01:14:21.813000,213.0,196.0,255.0,275.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:13:07.892000,,1,,False,,False,True
0 days 01:16:27.330000,VER,1,0 days 00:02:05.517000,28.0,5.0,,,0 days 00:00:27.717000,0 days 00:00:45.949000,0 days 00:00:51.851000,0 days 01:14:49.530000,0 days 01:15:35.479000,0 days 01:16:27.330000,131.0,126.0,6.0,203.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:14:21.813000,,1,,False,,False,True
0 days 01:17:45.525000,VER,1,,29.0,5.0,,0 days 01:17:45.525000,0 days 00:00:24.931000,0 days 00:00:37.964000,,0 days 01:16:52.349000,0 days 01:17:30.278000,,182.0,167.0,,251.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:16:27.330000,,1,,False,,False,False
0 days 00:17:42.273000,NOR,4,0 days 00:01:37.466000,1.0,1.0,0 days 00:16:05.928000,,0 days 00:00:30.390000,0 days 00:00:38.382000,0 days 00:00:28.694000,0 days 00:16:35.444000,0 days 00:17:13.775000,0 days 00:17:42.360000,184.0,188.0,267.0,256.0,False,MEDIUM,1.0,True,McLaren,0 days 00:16:05.928000,,1,,False,,False,False
0 days 00:18:55.523000,NOR,4,0 days 00:01:13.250000,2.0,1.0,,,0 days 00:00:19.384000,0 days 00:00:34.685000,0 days 00:00:19.181000,0 days 00:18:01.657000,0 days 00:18:36.342000,0 days 00:18:55.523000,213.0,199.0,268.0,277.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:42.273000,,1,,False,,False,True
