Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:28.600000,VER,1,,1.0,1.0,0 days 00:16:26.676000,,,0 days 00:00:52.029000,0 days 00:00:36.465000,,0 days 00:17:52.283000,0 days 00:18:28.625000,282.0,243.0,249.0,,False,HARD,1.0,True,Red Bull Racing,0 days 00:16:26.676000,,1,,False,,False,False
0 days 00:20:04.101000,VER,1,0 days 00:01:35.501000,2.0,1.0,,,0 days 00:00:28.299000,0 days 00:00:40.356000,0 days 00:00:26.846000,0 days 00:18:56.899000,0 days 00:19:37.255000,0 days 00:20:04.101000,303.0,272.0,246.0,294.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:28.600000,,1,,False,,False,True
0 days 00:22:37.919000,VER,1,,3.0,1.0,,,0 days 00:00:49.316000,0 days 00:01:07.062000,0 days 00:00:37.559000,0 days 00:20:53.689000,0 days 00:22:00.761000,0 days 00:22:38.141000,142.0,211.0,251.0,150.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:20:04.101000,,1,,False,,False,False
0 days 00:24:11.978000,VER,1,0 days 00:01:34.059000,4.0,1.0,,,0 days 00:00:27.744000,0 days 00:00:39.361000,0 days 00:00:26.954000,0 days 00:23:05.663000,0 days 00:23:45.024000,0 days 00:24:11.978000,304.0,272.0,250.0,294.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:22:37.919000,,1,,False,,False,True
0 days 00:26:20.786000,VER,1,0 days 00:02:08.808000,5.0,1.0,,0 days 00:26:15.062000,0 days 00:00:38.930000,0 days 00:00:52.196000,0 days 00:00:37.682000,0 days 00:24:50.908000,0 days 00:25:43.104000,0 days 00:26:20.786000,194.0,216.0,,165.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:24:11.978000,,1,,False,,False,False
0 days 00:28:42.274000,VER,1,0 days 00:02:21.488000,6.0,2.0,0 days 00:26:49.899000,,0 days 00:01:01.459000,0 days 00:00:50.128000,0 days 00:00:29.901000,0 days 00:27:22.245000,0 days 00:28:12.373000,0 days 00:28:42.274000,241.0,256.0,256.0,,False,HARD,6.0,False,Red Bull Racing,0 days 00:26:20.786000,,1,,False,,False,False
0 days 00:30:15.285000,VER,1,0 days 00:01:33.011000,7.0,2.0,,,0 days 00:00:27.479000,0 days 00:00:39.107000,0 days 00:00:26.425000,0 days 00:29:09.753000,0 days 00:29:48.860000,0 days 00:30:15.285000,302.0,272.0,249.0,296.0,True,HARD,7.0,False,Red Bull Racing,0 days 00:28:42.274000,,1,,False,,False,True
0 days 00:32:59.466000,VER,1,,8.0,2.0,,,0 days 00:00:55.811000,0 days 00:01:06.466000,0 days 00:00:41.855000,0 days 00:31:11.384000,0 days 00:32:17.827000,0 days 00:32:59.662000,101.0,220.0,254.0,150.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:30:15.285000,,12,,False,,False,False
0 days 00:34:31.980000,VER,1,0 days 00:01:32.514000,9.0,2.0,,,0 days 00:00:27.584000,0 days 00:00:38.746000,0 days 00:00:26.184000,0 days 00:33:27.050000,0 days 00:34:05.796000,0 days 00:34:31.980000,302.0,272.0,258.0,296.0,True,HARD,9.0,False,Red Bull Racing,0 days 00:32:59.466000,,1,,False,,False,True
0 days 00:36:28.805000,VER,1,0 days 00:01:56.825000,10.0,2.0,,0 days 00:36:23.049000,0 days 00:00:34.247000,0 days 00:00:47.414000,0 days 00:00:35.164000,0 days 00:35:06.227000,0 days 00:35:53.641000,0 days 00:36:28.805000,282.0,234.0,,196.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:34:31.980000,,1,,False,,False,False
